佑芽　　　　　　　　みなさぁーーーーん！　\nありがとうございましたぁ！
広　　　　　　　　　……はぁ……っ……
広　　　　　　　　　生のライブ、はじめて観た。
プロデューサー　　　……アイドルの卵として、\nあるまじき台詞ですね。
プロデューサー　　　進路を決める前に、\n観ておくべきものでは？
広　　　　　　　　　当時のわたしがライブに参加したら、\n無事ではすまない。
プロデューサー　　　…………以前の篠澤さんだったなら、\n途中で倒れていたかもしれませんね。
広　　　　　　　　　そう。だから、やっと、観られた。\nすぐ、間近で……ふふ。
プロデューサー　　　さて……
プロデューサー　　　今日は、レッスンの一環として、\n花海さんのライブを観たわけですが。
プロデューサー　　　感想をどうぞ。
広　　　　　　　　　すごかった。佑芽、きらきらしてた。
広　　　　　　　　　あれが、わたしの友達。
プロデューサー　　　嬉しそうですね。
広　　　　　　　　　うん。大満足。
プロデューサー　　　他には？
広　　　　　　　　　……………………？　他、って？
プロデューサー　　　たとえば……悔しい、とか。
広　　　　　　　　　どうして……わたしが、\n佑芽のライブを観て、悔しくなるの？
プロデューサー　　　入学してからずっと、同じグループで\nレッスンを受けていたでしょう。
広　　　　　　　　　うん。わたしと、千奈と、佑芽。\nずっと一緒だった。
プロデューサー　　　花海さんだけが急成長し、\n初ライブを成功させた。
プロデューサー　　　なにか思うところがあるのでは。
広　　　　　　　　　佑芽は、最初からすごかった。
広　　　　　　　　　誰よりも速いのに、\nおっちょこちょいで、そそっかしくて。
広　　　　　　　　　よーいどんで転んじゃった、\nうさぎさん。
広　　　　　　　　　わたしより先にデビューするのも、\nライブをするのも、
広　　　　　　　　　当たり前のことだと思う。
広　　　　　　　　　だから……\n悔しいとか、そういうのは…………
広　　　　　　　　　そういうのは………………………………
プロデューサー　　　篠澤さん？
広　　　　　　　　　プロデューサー……どうしよう。
広　　　　　　　　　わたし、悔しいかもしれない。
プロデューサー　　　か、かもしれない……とは？
広　　　　　　　　　佑芽はすごい。\nわたしは……ちっともすごくない。
広　　　　　　　　　なのに、悔しいのは、変。
プロデューサー　　　変じゃないですよ。
プロデューサー　　　身近な誰かに、先を越されたら悔しい。\nそういうものです。
広　　　　　　　　　そう、なの？　……わからない。\n負けたりとか、なかったから。
広　　　　　　　　　ふふ……知らなかった……
広　　　　　　　　　大好きなことで負けるの、\nすごく苦しいね。
広　　　　　　　　　身体が熱くて、心臓が痛くて。\n……そわそわする。
プロデューサー　　　それはよかった。
プロデューサー　　　Choice1: ……アイドル、好きなんですね 
広　　　　　　　　　……そうみたい。\nいま、はじめて気づいた。
広　　　　　　　　　好き……アイドルが。
プロデューサー　　　なら、今日のレッスンは大成功です。
プロデューサー　　　いつの日か、花海さんに\n負けないライブができるように――――
広　　　　　　　　　プロデューサー。
プロデューサー　　　――っと、どうしました？
広　　　　　　　　　ライブを<em>する</em>。
プロデューサー　　　は？　だ、誰が？
広　　　　　　　　　わたしが。
プロデューサー　　　いつ？
広　　　　　　　　　明日。
プロデューサー　　　ど、どど、どうやって？？？？
広　　　　　　　　　プロデューサーがなんとかする。
プロデューサー　　　はっ……あー………ええと……ゴホン！
プロデューサー　　　――――なぜ？
広　　　　　　　　　やりたいから。
広　　　　　　　　　面白そうだから。
広　　　　　　　　　悔しいから。
広　　　　　　　　　ふふん。
プロデューサー　　　……なんてままならない仕事なんだ。
広　　　　　　　　　羨ましい。
広　　　　　　　　　プロデューサー。\nわたし、あのとき言ったよ。
広　　　　　　　　　任せて、って。
プロデューサー　　　そうでしたね……！
プロデューサー　　　新鮮で、苦しくて、ままならない。\nそんな日々を約束した。
広　　　　　　　　　うん。
プロデューサー　　　なんとかしましょう。
広　　　　　　　　　わたし、明日ライブできる？
プロデューサー　　　Choice1: で……でき……できま……す 
広　　　　　　　　　苦しそう。
プロデューサー　　　おかげさまで……\n趣味を楽しんでいますよ……
広　　　　　　　　　仲間。
広　　　　　　　　　プロデューサー、明日も……\n一緒に楽しもうね。
プロデューサー　　　明日のことを考える前に、\n一度、レポートをまとめなおそう……
プロデューサー　　　なんとかすると言ってしまった……！　\nぐうううううう…………！
