ダンストレーナー　　いいか、リズム感が大切だからな！\nもっと全身でダンスを表現するんだ――
清夏　　　　　　　　……………………
プロデューサー　　　またサボりですか？
清夏　　　　　　　　わっ！？　な、なんだPっちかぁ。\nびっくりさせないでよ～！
プロデューサー　　　悪いことをしている自覚があるから、\nそんなに驚くのでは？
清夏　　　　　　　　うるさ～い！\n別に、あたしの勝手でしょ？
清夏　　　　　　　　てか、なんでここにいんのよ？
プロデューサー　　　今日こそ個人レッスンを\n受けてもらおうと思っていまして。
清夏　　　　　　　　えー、今日は気が向かないから\nまた今度かな～。
プロデューサー　　　いつになったら気が向きますか？
清夏　　　　　　　　んー、わかんない！\nどう？　そろそろあたしに失望した？
プロデューサー　　　そう簡単に失望するぐらいなら、\nプロデュースするなんて言いませんよ。
清夏　　　　　　　　強情だね、Pっち。
清夏　　　　　　　　個人レッスンなんてめんどいよ～。
プロデューサー　　　そう言われると、困りましたね。
清夏　　　　　　　　でしょ！？\nだったら、あたしのことは諦めて――
プロデューサー　　　それなら、遊びに行きましょうか。
清夏　　　　　　　　…………へ？
プロデューサー　　　レッスンは嫌なんでしょう？\n行きたいところに付き合いますよ。
清夏　　　　　　　　……何それ？\nま、別にあたしはいいケド。
清夏　　　　　　　　あ、じゃあカラオケ行こうよ！
プロデューサー　　　もちろん構いませんが、\nボーカルレッスンでは駄目なんですか？
清夏　　　　　　　　わかってないなPっち～。\nレッスンと比べたら楽しさが違うよ。
清夏　　　　　　　　それじゃ、また放課後ね！
清夏　　　　　　　　やっほ～！\nお待たせPっち！　待った？
プロデューサー　　　Choice1: それなりに Choice2: いえ、\n今来たところです 
清夏　　　　　　　　む、分かってないなぁ～。\nそこは今来たトコって言ってよ～！
清夏　　　　　　　　そう？　ならよかった～！
清夏　　　　　　　　～～～～♪
プロデューサー　　　楽しそうですね。
清夏　　　　　　　　そりゃ、歌うのは好きだよ？\nきもちいーし。
プロデューサー　　　何より、惹き込まれる歌声です。\nこれまでの努力を感じます。
清夏　　　　　　　　……そんなに褒めても何も出ないよ？\nてか別に、努力とかしてないし。
プロデューサー　　　そういうことにしておきましょうか。
清夏　　　　　　　　む……まあ別に悪い気はしないケド。\nてか、Pっちは歌わないの？
プロデューサー　　　清夏さんの歌を聞いているだけで\n十分楽しいですから。
清夏　　　　　　　　ふ～ん？　それならいいけどさ。\nあたしも、歌ってる方が楽しいし♪
清夏　　　　　　　　それじゃあ次の曲いっちゃおっかな！\nPっちのリクエスト受け付けるよ――
清夏　　　　　　　　ふ～！　歌った歌った！\n満足！　楽しかったね、Pっち！
プロデューサー　　　そうですね。\nところで……ここは？
清夏　　　　　　　　ん？　見れば分かるっしょ。\nゲーセンに決まってるじゃん。
プロデューサー　　　あれだけ歌ったのに、\nまだ遊べる体力があるんですね。
清夏　　　　　　　　なに言ってんのPっち！\nこっからが本番なんだから！
清夏　　　　　　　　まずはプリ撮ろ！\nPっちとの初デート記念にね♪
プロデューサー　　　初デート、ですか？
清夏　　　　　　　　男女が一対一で遊んでるんだし、\nデートっしょ？
プロデューサー　　　プロデューサー科のものとしては、\nその表現だと少し問題がありますね。
清夏　　　　　　　　あははっ、Pっちお堅～い♪
清夏　　　　　　　　ほら、プリ撮るよPっち！\n笑って笑って！
清夏　　　　　　　　――ねえねえ、Pっち！\nあたし、あのグッズ欲しいなぁ～。
プロデューサー　　　クレーンゲームで取れと？
清夏　　　　　　　　おねがーい♪
プロデューサー　　　……よし、引っかかった。\nゆっくり、ゆっくり……あっ。
清夏　　　　　　　　あちゃぁ～、惜しかったね～。\n残念♪
プロデューサー　　　まだ財布に百円玉は何枚もあります。\nこのままでは終われない。
清夏　　　　　　　　ちょ、ちょ、Pっち！？\n熱くならないで、そこまでにしとこ？
清夏　　　　　　　　あのグッズなら他のところで買えるし、\n他のゲームでも遊びたいし、ね？
プロデューサー　　　仕方ないですね。\n清夏さんがそう言うのであれば……
清夏　　　　　　　　次はあっちの対戦ゲーで勝負しようよ！
清夏　　　　　　　　――いやぁ、満足満足♪\n久しぶりに全力で遊んじゃったな～。
プロデューサー　　　もうすっかり暗くなってますね。\n寮まで送っていきます。
清夏　　　　　　　　おっ、Pっち流石♪\n年上の男の人は違うね～。
清夏　　　　　　　　てか、どうだった？\nPっちは今日、楽しかった？
プロデューサー　　　楽しかったですよ。
清夏　　　　　　　　よかった～！\nじゃあ、これからも一緒に遊ぼうね♪
プロデューサー　　　レッスンは？
清夏　　　　　　　　あははっ、気が向いたらね～。
清夏　　　　　　　　それじゃっ、またねPっち！\n送ってくれて、サンキュ～！
プロデューサー　　　……ええ、また明日。
プロデューサー　　　（ゲーセンで遊んでいた時――）
プロデューサー　　　（端から順にプレイしていたのに、\nダンス系のゲームだけはスルー、か）
プロデューサー　　　今日のプロデュース状況を\nメモしておこう。
プロデューサー　　　踊ることが、彼女が諦めることの\n原因になっている……みたいだな。
