ダンストレーナー　　よし、今日はここまでだ！
手毬　　　　　　　　ありがとうございました！
プロデューサー　　　お疲れ様です、月村さん。
手毬　　　　　　　　プロデューサー、きてたんだ。
手毬　　　　　　　　……えっと、それ、なに？
プロデューサー　　　ビデオカメラです。月村さんの\nレッスンを撮影していました。
手毬　　　　　　　　えぇ…………なんで……
プロデューサー　　　もちろん月村さんの\n弱点克服のためです。
手毬　　　　　　　　あれから毎日、新しいレッスン\nメニューをこなしてるけど？
プロデューサー　　　体力を付けるだけでなく、疲労して、\nスタミナが切れてしまっても……
プロデューサー　　　ぎりぎりまでパフォーマンスが\n落ちないようにしましょう。
手毬　　　　　　　　そう言われても……
プロデューサー　　　まずはレッスン中の動きがどのように\n悪くなるのか、自覚してもらいます。
プロデューサー　　　それだけでも、違うはずです。
手毬　　　　　　　　ふ、ふぅん……撮影してた理由は\nわかったけどさ。
手毬　　　　　　　　（……勘違いしそうになった）
手毬　　　　　　　　（……てっきり、私の写真や動画を\nコレクションしてるのかなって）
手毬　　　　　　　　…………恥ずかしいんですけど。
プロデューサー　　　カメラに慣れていない\nはずはないでしょう。
手毬　　　　　　　　そうだけど……そうじゃなくて。\n事情が違うっていうか……
手毬　　　　　　　　（プロデューサーに撮られるのが\n恥ずかしいんだよ～～～～～！）
手毬　　　　　　　　なんで言わないとわからないの？\nそういうところ、嫌いです！
プロデューサー　　　！？　な、なにを……
手毬　　　　　　　　腹が立ったから、\nプロデューサーの写真を撮ってる。
プロデューサー　　　なんのために？
手毬　　　　　　　　お互い様でしょ？　そっちだって……
手毬　　　　　　　　私の写真をたくさん集めて\n壁に貼ってるんだから。
プロデューサー　　　あれはプロデュースのためです。
手毬　　　　　　　　は？　そういうところが\n嫌いなんだけど？
手毬　　　　　　　　ほら、ポーズ取ってよ。\nアイドルみたいに。撮るから。
プロデューサー　　　Choice1: ……恥ずかしいん\nですけど Choice2: こうですか？ Choice3: やめてください 
手毬　　　　　　　　知ってる。
手毬　　　　　　　　……うわ、ノリノリで気持ち悪い。
手毬　　　　　　　　やめてあげない。
手毬　　　　　　　　はい、今度は椅子に座って。\nもっとシャツのボタン外して。
プロデューサー　　　学園のアイドルに\nそんな撮影はありません。
手毬　　　　　　　　……ふぅ、満足した。
プロデューサー　　　………………それはなにより。
プロデューサー　　　少しでも気分が上向いたなら、\n付き合った甲斐がありました。
手毬　　　　　　　　大丈夫、安心して。
手毬　　　　　　　　プロデューサーの恥ずかしい写真は、\n誰にも見せないようにするから。
手毬　　　　　　　　ふたりの秘密だね。
翌日。
あさり先生　　　　　プロデューサー科1年1組\n{user}くん。
あさり先生　　　　　至急、職員室まできてください。
あさり先生　　　　　{user}くん。\nなぜ呼び出されたか、わかりますか？
プロデューサー　　　まったくわかりません。
プロデューサー　　　？　……月村さん？
手毬　　　　　　　　……ごめん、プロデューサー。
手毬　　　　　　　　スマホ、没収されちゃった。
プロデューサー　　　！？
あさり先生　　　　　アイドル科の先生から\n預かった件なんです。
あさり先生　　　　　彼女、授業中にスマートフォンの\n画面ばかり見ていたらしくて。
あさり先生　　　　　注意して没収したら、その……\nきみの写真がたくさん……
あさり先生　　　　　どういうことか、説明してくれる？
あさり先生に、必死で弁明した。
あさり先生　　　　　なぁんだ、\nそういうことだったんですね～。
あさり先生　　　　　先生、きみのことを信じてました。
プロデューサー　　　…………本当ですか？
あさり先生　　　　　ほ、本当ですよ？　ただちょっと、\n月村さんが挙動不審だったから。
あさり先生　　　　　一応？　念のために？　\n事情を聴いてみただけです。
あさり先生　　　　　まったく疑ってませんでしたよ～？
手毬　　　　　　　　プロデューサー、説明上手いね。
プロデューサー　　　…………………………………………
手毬　　　　　　　　（睨んでる～っ）
手毬　　　　　　　　…………反省してるから。
プロデューサー　　　……前向きに考えましょう。\n貴重な予行演習ができたと。
プロデューサー　　　将来トップアイドルになってから、\n炎上されるよりはマシだったと。
手毬　　　　　　　　そ、そこまで\n言わなくてもいいでしょ！
あさり先生　　　　　…………月村さん。
手毬　　　　　　　　えっ？
あさり先生　　　　　{user}くんのこと、\n好きなんですか？
手毬　　　　　　　　………あ、あり得ませんからっ。
プロデューサー　　　今日のプロデュース状況を\nメモしておこう。
プロデューサー　　　隠し事は苦手そうだから、\nその点は安心……かもしれないな。
