id,name,text,trans
0000000000000,__narration__,――ファーストライブ当日。,——首次演唱会当天。
0000000000000,{user},ついに来ましたね、この日が。,终于到来了呢，这一天。
0000000000000,リーリヤ,はい……こ、こんなに、\nお客さんが入っているなんて。,嗯……居、居然来了\n这么多观众……
0000000000000,{user},緊張しますか？,紧张吗？
0000000000000,リーリヤ,そう、ですね……。\n胸は、どきどきしてます。,是、是啊……\n心脏跳得厉害。
0000000000000,{user},それはこれまでに懸けた時間と、\n気持ちの重みです。,这是至今为止投入的时间\n和心意的重量。
0000000000000,{user},決して、悪いものじゃない。,绝不是坏事。
0000000000000,リーリヤ,……ずっと、ここを目指して\n練習してきました。,……我们一直\n以这个舞台为目标练习至今。
0000000000000,リーリヤ,夢にまで見た舞台だから、\n今は、楽しみたいと……思ってます。,因为是梦寐以求的舞台，\n现在只想……好好享受。
0000000000000,{user},……下手でもいいとか、\n慰めは言いませんからね。,……我不会说什么搞砸了也没关系\n这种安慰的话哦。
0000000000000,リーリヤ,……分かってます、\nセンパイの言いたいことは。,……我明白的，\n前辈想说的话。
0000000000000,リーリヤ,とにかく今の自分の精一杯を、\nみんなに見せてきます。,总之我会把现在的全力\n展现给大家看。
0000000000000,{user},葛城さん。,葛城同学。
0000000000000,リーリヤ,はい？,在？
select,,頑張れ,加油
select,,いつも通りに,像平常那样
0000000000000,リーリヤ,……はい！,……是！
0000000000000,リーリヤ,……分かりました！,……我明白了！
0000000000000,リーリヤ,――センパイ。\nわたしは、アイドルになります！,——前辈。\n我，一定要成为偶像！
0000000000000,{user},……！\n葛城さん……,……！\n葛城同学……
0000000000000,リーリヤ,――見ててください、わたしのこと。,——请看着我，请注视着我。
0000000000000,{user},――葛城さん！,——葛城同学！
0000000000000,リーリヤ,あ、センパイ……。\nど、どうでしたか……？,啊，学长……。\n那、那个……怎么样……？
0000000000000,リーリヤ,今のわたしにできる、\n精一杯だったんですけど……。,这已经是我现在，\n竭尽全力能做到的了……。
0000000000000,リーリヤ,ああ、でも……あれも間違えたし、\nこれも間違えてたし……ううう……。,啊啊，可是……那里也出错了，\n这里也搞砸了……呜呜……。
0000000000000,{user},素晴らしいパフォーマンスでしたよ。,是非常精彩的演出哦。
0000000000000,リーリヤ,ほ、本当ですか？,真、真的吗？
0000000000000,{user},ええ。なぜなら観客はみんな、\n楽しそうに笑っていたじゃないですか。,嗯。因为所有观众，\n不都露出了开心的笑容吗？
0000000000000,リーリヤ,…………！,…………！
0000000000000,{user},葛城さんの頑張る姿が、\nみんなの心に届いた証です。,这正是葛城同学努力的身影，\n传达到大家心里的证明。
0000000000000,{user},気づいているかもしれませんが、\nあの子も、観客席にいましたよ。,你可能已经注意到了，\n那孩子也坐在观众席上哦。
0000000000000,リーリヤ,……はい。\nステージから、見えました。,……嗯。\n从舞台上，看到了。
0000000000000,リーリヤ,清夏ちゃんの心にも、\nちゃんと届いてくれたでしょうか？,清夏的心里，\n也能好好传达到吗？
0000000000000,{user},きっと、届いてますよ。\n葛城さんの歌には、その力がある。,一定传达到了。\n葛城同学的歌声拥有这种力量。
0000000000000,リーリヤ,センパイ……。,学长……。
0000000000000,{user},……とはいえ、確かに、\nミスはたくさんありましたが。,……话虽如此，确实，\n失误还是有不少呢。
0000000000000,リーリヤ,で、ですよね……。\nごめんなさい……。,是、是啊……。\n对不起……。
0000000000000,{user},プロデューサー失格ですね。,真是制作人失格呢。
0000000000000,リーリヤ,え、ええっ！？,诶，诶诶！？
0000000000000,{user},葛城さんの強い意志を見込んで\nプロデュースを決めました。,正是看中了葛城同学坚定的意志，\n才决定要培育你的。
0000000000000,{user},ですが、実際には葛城さんの前に\n立ちはだかる壁は高く、厳しい面も\nあると……そう感じていました。,但是实际上，葛城同学面前\n耸立的高墙比想象中更加严峻……\n我一直这么认为。
0000000000000,リーリヤ,…………。,…………。
0000000000000,{user},でも、間違っていました。,但是，我错了。
0000000000000,{user},葛城さんは、俺が思っていたよりも、\nはるかに素晴らしいアイドルです。,葛城同学是比我想象中\n还要出色得多的偶像。
0000000000000,リーリヤ,……！,……！
0000000000000,リーリヤ,それは、センパイのおかげです。\nわたしひとりじゃ、何もできなかった。,这都是前辈的功劳。\n光靠我一个人什么都做不到。
0000000000000,リーリヤ,こんなわたしを、センパイが\nここまで連れてきてくれました。,是前辈把这样的我\n一路带到了这里。
0000000000000,リーリヤ,だから、その……本当に、\nありがとうございました、センパイ。,所以那个……真的\n非常感谢您，前辈。
select,,まだ、始まった\nばかりですよ,这才刚刚\n开始哦
select,,これからも一緒に\n頑張りましょう,今后也一起\n加油吧
0000000000000,リーリヤ,あはは、そうですよね……。\nでも、これがわたしの気持ちだから。,啊哈哈，说的也是呢……\n但这就是我的心意啊。
0000000000000,リーリヤ,はい……！\nずっと一緒に、頑張りましょう！,好的……！\n要永远一起努力！
0000000000000,リーリヤ,これからもよろしくお願いします、\n――センパイ！,今后也请多多指教，\n——前辈！
0000000000000,{user},今日のプロデュース状況を\nメモしておこう。,把今天的培育情况\n记录下来吧。
0000000000000,{user},みんな笑顔のいいライブだった！\n彼女は素晴らしいアイドルだ！,大家笑容灿烂的live真棒！\n她果然是出色的偶像！
info,adv_dear_kllj_009.txt,,
译者,,,
