id,name,text,trans
0000000000000,あさり先生,アイドルは芸能界という業界の\nいち職業と言えますよね？,偶像可以说是演艺圈这个行业中的\n一种职业对吧？
0000000000000,あさり先生,仕事とするからには、一人前としての\n責任を負うことにもなりますし……,既然将其作为职业\n就必须承担起相应的责任……
0000000000000,あさり先生,楽しい経験だけとは限りません。\n辛いこともたくさん経験するでしょう。,并不只有愉快的经历\n肯定也会遇到很多艰辛的事情。
0000000000000,あさり先生,アイドルが辛い経験をしたとき、\nどんなサポートができると思いますか？,你觉得当偶像遇到困难时\n我们能提供什么样的支持呢？
0000000000000,{user},辛い……アイドル活動を\n通じてのことですよね。,艰辛……是指\n偶像活动过程中遇到的吧。
select,,弱音を吐ける\n場所になる,成为能够让她\n吐露心声的避风港
select,,縁の下の力持ち\nになる,成为默默支持的\n幕后力量
select,,常にそばにいる,始终陪伴在身边
0000000000000,{user},彼女は強い人ですが、\n何度も壁に阻まれるでしょう。,虽然她是个坚强的人\n但也会多次碰壁吧。
0000000000000,{user},そんなとき、頼ることができる……\nそういう風にありたいですね。,希望能成为她在这种时候\n可以依靠的存在呢。
0000000000000,あさり先生,ひとりで戦える人はいませんからね。\nいい答えだと思います。,没有人能独自战斗呢\n我觉得这是个很好的回答。
0000000000000,あさり先生,有村さんのこと、しっかり\nサポートしてくださいね♪,要好好支持\n有村同学哦♪
0000000000000,{user},麻央さんは大きな挑戦をしています。\nそれに水をさしたくありません。,麻央同学正在迎接重大挑战\n我不想泼她冷水。
0000000000000,{user},ですからサポートだと悟られない\nのが理想ですね。,所以理想的支援方式\n是不让她察觉到的帮助。
0000000000000,{user},悩みがいつの間にか片付いている……\nそんな状態です。,让烦恼不知不觉间就得到解决……\n就是这样的状态。
0000000000000,あさり先生,なるほど。なかなか難しいですが、\nチャレンジしがいがありそうです。,原来如此。虽然很有难度\n但似乎值得挑战呢。
0000000000000,あさり先生,プロデューサーとして、\nしっかり支えてあげてくださいね！,作为制作人\n请好好支持她们吧！
0000000000000,{user},実際はそういうわけにもいきませんが\n心情的な意味で、です。,实际上虽然不能完全做到\n但至少在精神层面上。
0000000000000,{user},どんなときでも味方だと\n思ってもらいたいですね。,希望她们能明白\n我永远站在她们这边。
0000000000000,あさり先生,そうですね。アイドルにとって\n無条件で信じられる味方……,是啊。对偶像来说\n无条件信任的伙伴……
0000000000000,あさり先生,それがプロデューサーとしての、\n究極の形かもしれません。,这或许就是作为制作人的\n终极形态了。
0000000000000,あさり先生,道のりは長いですが、\n先生も応援していますよー♪,虽然道路还很漫长，\n老师也会为你加油的哟♪
info,adv_pevent_001_amao_school_004.txt,,
译者,,,
