id,name,text,trans
0000000000000,{user},今日は複数人でのライブです。\n麻央さんはトリですね。,今天是多人联合演出呢。\n麻央同学是压轴出场吧。
0000000000000,麻央,何度もやってますけど、\n始まる前はまだ緊張しますよ。,虽然已经表演过很多次了，\n但开始前还是会紧张呢。
select,,トリにふさわしい\nライブを,要献上配得上压轴位置的\n精彩演出
select,,ライバルは\n強敵です,竞争对手可是\n强敌啊
select,,全員ファンに\nしましょう,要把所有观众\n都变成粉丝
0000000000000,麻央,もっと緊張させないでくださいよ。\n……望むところです。,请别再让我更紧张了。\n……不过这正是我期待的。
0000000000000,{user},素晴らしいライブだった！\nこれが麻央さんなんだ……！,太精彩的演出了！\n这就是麻央同学的实力吗……！
0000000000000,麻央,相変わらず、プロデューサーは\nその気にさせるのがうまいですね。,制作人还是一如既往地\n擅长调动情绪呢。
0000000000000,{user},素晴らしいライブだった！\nこれが麻央さんなんだ……！,太精彩的演出了！\n这就是麻央同学的实力吗……！
0000000000000,麻央,……わかりました。振り向いて\nもらえるようなライブにします。,……我明白了。我会呈现出让观众\n忍不住回头的精彩演出。
0000000000000,{user},素晴らしいライブだった！\nこれが麻央さんなんだ……！,太精彩的演出了！\n这就是麻央同学的实力吗……！
info,adv_pevent_002_amao_sales_4-001-02.txt,,
译者,,,
