id,name,text,trans
0000000000000,ことね,わぁ～！\nそれレアってやつですよぉ！,哇～！\n这可是稀有款哦！
0000000000000,{user},では、どうぞ。,那么，请收下吧。
0000000000000,ことね,えぇっ？\nいいんですかぁ？,诶～？\n真的可以吗？
0000000000000,{user},子供向けですし、\nプレゼントにでもどうぞ。,这是面向儿童的，\n就当是礼物收下吧。
0000000000000,ことね,ありがとうございますぅ～っ♪\n喜びますよ～♡,非常感谢～♪\n我会好好珍惜的～♡
0000000000000,ことね,1つだとケンカするから、\nあたしもやってみよっかなぁ～。,只有一个的话会吵架的，\n要不我也来试试看吧～。
select,,こうなったら\n限界まで,既然都这样了\n就挑战极限吧
select,,日を改めましょう,改天再来吧
0000000000000,ことね,あれ……わぁ～！\nこっちもレアですよぉ！,啊咧……哇～！\n这边也是稀有款哦！
0000000000000,{user},すごいですね。\n豪運というか……,真厉害呢。\n该说是强运吗……
0000000000000,ことね,今日ってもしかして\nそーゆー日？,今天该不会是\n那种幸运日？
0000000000000,ことね,プロデューサぁ～♪\n宝くじ買って帰りましょ！,制作人～♪\n回去的路上买彩票吧！
0000000000000,{user},（それはさすがに……）,（那个还是算了吧……）
0000000000000,ことね,あ～っ。\n一番出やすいヤツ……,啊～。\n最容易出的那种……
0000000000000,{user},こちらもかわいいと思いますよ。,我觉得这个也很可爱哦。
0000000000000,ことね,そうですかぁ？\nん～……見た目じゃわからないかっ。,是吗～？\n嗯～……光看外表可能看不出来呢。
0000000000000,ことね,じゃあこれもお土産にしま～す♪\n喜ぶぞ～っ♪,那这个也当伴手礼吧～♪\n大家一定会很开心～♪
0000000000000,{user},二連続でレアを引く確率は\n低いですからね。,连续抽中两个稀有款的概率\n可是很低的呢。
0000000000000,{user},違う日にして運をリセットしましょう。,换个日子重置运气吧。
0000000000000,ことね,あ～っ！\nわかるぅ～っ！,啊～！\n我懂这种感觉～！
0000000000000,ことね,別日のほうがいいですよねぇ。\nまた連れてきてくださいね～っ♪,还是改天比较好吧～\n下次还要带我来玩哦～♪
info,adv_pevent_001_fktn_activity_017-02.txt,,
译者,,,
