id,name,text,trans
0000000000000,あさり先生,さあ、今日は藤田さんに関連して……\nえっと、問題を出しましょう！,那么，今天和藤田同学有关的问题……\n嗯，我来出个谜题吧！
0000000000000,{user},（歯切れが悪いな……？）,（说话怎么支支吾吾的……？）
0000000000000,あさり先生,一郎くんと二郎くんは、両親も\n生年月日もおなじです。,一郎和二郎的父母\n和出生年月日都相同。
0000000000000,あさり先生,にもかかわらず、双子ではないんです。\nさて、それはなぜでしょう？,尽管如此，他们却不是双胞胎。\n那么，这是为什么呢？
select,,三つ子だったから,因为是三胞胎
select,,実はひとりだから,其实只有一个人
select,,全然わかりません,完全不明白
0000000000000,あさり先生,正解です！\nよくわかりましたね！,答对了！\n理解得很透彻呢！
0000000000000,{user},（有名なひっかけだしな……）,（毕竟是经典的陷阱题啊……）
0000000000000,あさり先生,というわけで、答えが最初に\n提示されてるナゾナゾでした。,所以这是个答案\n早就摆在题目里的谜语呢。
0000000000000,{user},藤田さんとはどんな関係が。,和藤田同学是什么关系呢。
0000000000000,あさり先生,きょ、きょうだいです、\nきょうだい！,是、是兄妹啦，\n是兄妹！
0000000000000,{user},きっとどちらかがあだ名\nなんですよね。,肯定是其中一个是昵称\n对吧。
0000000000000,あさり先生,そこまで迫ってるなら、もう1つの\n可能性に気づきそうですが……,既然都追问到这个地步了\n应该能想到另一种可能性才对……
0000000000000,あさり先生,答えは「三つ子だったから」です。\nもう一歩でしたね。,正确答案是因为是三胞胎。\n就差一点了呢。
0000000000000,あさり先生,それにしても一郎くんのあだ名が\n二郎くんって、どういう状況でしょう？,不过一郎的昵称叫二郎\n这到底是什么情况啊？
0000000000000,{user},（そこを真剣に考えられても\n　困るな……）,（要是被认真思考这个问题\n 我也很困扰啊……）
0000000000000,あさり先生,潔い姿勢、先生は好きですよ。,干脆的态度，老师我很欣赏哦。
0000000000000,あさり先生,答えは「三つ子だったから」です。\nいじわるですよね？,正确答案是因为是三胞胎。\n很坏心眼对吧？
0000000000000,{user},……藤田さんとの共通点は\nきょうだいということだけですか？,……和藤田同学的共同点\n就只有兄妹关系而已吗？
0000000000000,あさり先生,だ、だけって言わないでくださいよー！,别、别只说但是啊～！
0000000000000,あさり先生,まあ、否定は……できませんが。,嘛…虽然无法否认呢。
info,adv_pevent_001_fktn_school_007.txt,,
译者,,,
