id,name,text,trans
0000000000000,ことね,あたし以外にも『N.I.A』出場者が\n参加するって聞いてましたけどぉ……,我听说除了我之外还有其他『N.I.A』参赛者\n也会来参加呢……
0000000000000,ことね,ミニライブにこんなに人来るとか、\n『N.I.A』の注目度、やば……,没想到迷你演唱会有这么多观众，\n『N.I.A』的关注度也太夸张了……
0000000000000,ことね,でも、これってチャンスですよねっ！？,不过，这反而是个机会对吧！？
select,,ファンを稼ぐ\n大チャンスです,这可是积累粉丝的\n大好机会
select,,全員ファンに\nしてきてください,请把所有人都变成\n我的粉丝吧
select,,注目を集めて\nきてください,请务必吸引\n大家的关注
0000000000000,ことね,はい！　未来のあたしの財産、\nしっかり稼いできますっ！,好的！我会好好积攒\n未来属于我的财富的！
0000000000000,{user},いいライブだった。\n確実にファンが増えたはず……！,很棒的演出。\n粉丝肯定增加了不少……！
0000000000000,ことね,もぉ、ハードル上げすぎですって！\nでも……そのつもりでいきます！,真是的，把门槛设得太高啦！\n不过……我会以此为目标努力的！
0000000000000,{user},いいライブだった。\n確実にファンが増えたはず……！,很棒的演出。\n粉丝肯定增加了不少……！
0000000000000,ことね,全員、あたしに夢中にさせてきますから\nちゃんと見ててくださいねっ♡,我会让所有人都为我着迷的\n请好好看着哦♡
0000000000000,{user},いいライブだった。\n確実にファンが増えたはず……！,很棒的演出。\n粉丝肯定增加了不少……！
info,adv_pevent_002_fktn_sales_4-001-01.txt,,
译者,,,
