id,name,text,trans
0000000000000,美鈴,まあ……プロデューサーは、\nこういうところが好きなんですね。,嘛……制作人\n原来喜欢这种地方呢。
0000000000000,{user},好みはともかく、\n今日は研究を兼ねています。,喜好暂且不论，\n今天还兼做研究。
0000000000000,{user},秦谷さんは、\nお気になさらず楽しんでください。,秦谷同学请不必在意，\n好好享受吧。
0000000000000,美鈴,プロデューサーが研究する\nのなら、わたしも。,如果是制作人做研究的话，\n那我也要一起。
0000000000000,美鈴,どういうところを見れば\nいいのでしょうか？,具体该观察哪些方面呢？
select,,表情を,表情
select,,発声を,发声
select,,仕草を,举止
0000000000000,{user},こういったお店のメイドさんは\n笑顔でいるだけではありません。,这类女仆店的店员\n并非只是保持微笑而已。
0000000000000,{user},やりとりの中では困り顔や\n怒った顔も使い分けます。,在与客人互动时\n会灵活运用困扰或生气的表情。
0000000000000,美鈴,……確かに、楽しみの一環として、\n表情を使い分けていますね。,……确实，作为服务乐趣的一环，\n她们很擅长切换表情呢。
0000000000000,美鈴,よく見ていますね……\nやはり……ふふ。,观察得真仔细……\n果然……呵呵。
0000000000000,{user},皆さん、大きいだけでなく\nよく通る声で話しています。,大家说话时不仅音量充足，\n声音穿透力也很强。
0000000000000,{user},うるさい店内でも\nよく聞き取れますよ。,即使在嘈杂的店内\n也能听得很清楚。
0000000000000,美鈴,……本当ですね。\nとても明瞭な発声です。,……确实如此。\n发声非常清晰呢。
0000000000000,{user},……秦谷さんの声も、普通に話して\nいるのに、とてもよく聞き取れますね。,……秦谷同学的声音也是，明明只是普通说话，\n却异常清晰可辨。
0000000000000,美鈴,アイドルですから。\nメイドさんにも負けませんよ。,因为我们是偶像啊。\n可不会输给女仆们哦。
0000000000000,{user},フロアに出ている間、\n常に楽しませることを意識しています。,在营业期间\n时刻保持着取悦客人的意识。
0000000000000,美鈴,ずっと見られているなか、\nすごいですね。,在持续被注视的环境下工作，\n真是厉害呢。
0000000000000,美鈴,そういうところが好きなのですか？,你喜欢的就是这点吗？
0000000000000,{user},……好きと\n言わせたがっていませんか？,……你该不会是想让我说\n喜欢吧？
0000000000000,美鈴,そんなことありませんよ……\nふふ。,才没有这回事呢……\n呵呵。
info,adv_pevent_001_hmsz_activity_006.txt,,
译者,,,
