id,name,text,trans
0000000000000,{user},（……今日は公園に行く予定\n　だったはずだが）,（……明明今天计划是去公园的\n 怎么变成这样了）
0000000000000,{user},（気がついたら\n　カラオケに来ていた）,（回过神来才发现\n 居然来到了卡拉OK）
0000000000000,{user},……なぜ我々はカラオケに\n来ているのでしょう。,……为什么我们会\n在卡拉OK里呢。
0000000000000,美鈴,プロデューサーの歌声……\n聞かせてくれるんですよね？,制作人的歌声……\n可以让我们听听看吧？
0000000000000,{user},そ、そんな話になってましたか？,咦、咦？有说过这回事吗？
0000000000000,美鈴,どんな歌声なのか……\n楽しみです。,究竟是什么样的歌声呢……\n真让人期待。
select,,こうなったら\n仕方ない,既然事已至此\n也没办法了
select,,いちど落ち着き\nましょう,先冷静\n一下吧
0000000000000,{user},約束は約束です。,约定就是约定。
0000000000000,{user},まずは一曲、歌いましょう。,先来唱一首歌吧。
0000000000000,美鈴,まあ……焦らすのがお上手ですね。,哎呀……您可真会吊人胃口呢。
0000000000000,{user},話していたらいつの間にか誘導\nされていたような……,聊着聊着不知不觉就被\n引导到这里了……
0000000000000,美鈴,ふふ。そんな風に感じましたか？,呵呵。您有这样的感觉吗？
0000000000000,{user},（恐るべし、秦谷美鈴……）,（可怕的秦谷美铃……）
info,adv_pevent_001_hmsz_activity_018-01.txt,,
译者,,,
