id,name,text,trans
0000000000000,咲季,ねえプロデューサー。\n行きたいところがあるんだけど。,制作人。\n我有个想去的地方。
0000000000000,{user},モールのお店ですか？\nどこでもいいですよ。,是商场里的店铺吗？\n哪里都可以哦。
0000000000000,咲季,じゃあスポーツ用品店に\n行きましょっ♪,那我们去运动用品店吧♪
0000000000000,咲季,新しいタオルを買うの。\n吸水性抜群のヤツ！,我要买新毛巾。\n要吸水性超强的那种！
select,,さすが、\nプロですね,不愧是\n专业人士呢
select,,持ちましょうか？,要我帮你拿吗？
select,,予算が出ますよ,预算批下来了
0000000000000,咲季,ふふん♪\nわかってるじゃない。,哼哼♪\n这不是很懂嘛。
0000000000000,咲季,素材で速乾性も変わってくるし。\nマイクロファイバーにコットンでしょ。,材质不同速干性也会变化。\n要选超细纤维混棉的对吧。
0000000000000,咲季,よかったら教えてあげましょうか？\nあなたに合うタオル♪,需要的话我可以教你挑选哦？\n适合你的毛巾♪
0000000000000,咲季,気持ちは嬉しいけど、\nタオルって言ったでしょう！,你的心意我很开心，\n但我说的是毛巾啦！
0000000000000,咲季,そうね。じゃあダンベルを\n買うときは、お願いしようかしら？,也是呢。那下次买哑铃的时候，\n就拜托你啦？
0000000000000,{user},……頑張ります。,……我会努力的。
0000000000000,咲季,……冗談よっ！\nそんな顔しないでってば！,……开玩笑啦！\n别摆出那种表情嘛！
0000000000000,咲季,そうなの？\nちょうどいいじゃない！,真的吗？\n这不是正好！
0000000000000,{user},ええ、タイミングがよかったですね。,是啊，时机刚刚好呢。
0000000000000,咲季,しばらく買わなくていいように、\nまとめ買いしちゃいましょう！,为了短时间内不用再买，\n我们一次性多买些吧！
info,adv_pevent_001_hski_activity_020.txt,,
译者,,,
