id,name,text,trans
0000000000000,数学教師,かつて豊臣秀吉は、織田信長から\n山に木が何本あるか数えろと言われた。,昔日丰臣秀吉曾被织田信长命令\n去数清山上共有多少棵树。
0000000000000,数学教師,秀吉はそれをやってのけた。\n高校生の君たちにもできる方法だ。,秀吉出色完成了任务。\n高中生们也能想到同样的方法。
0000000000000,数学教師,ある身近な道具を使ったんだが、\nどうやったかわかるか？,他使用了一样日常工具，\n你们能猜到吗？
0000000000000,咲季,身近な道具……？\n電卓とかじゃないわよね。,日常工具……？\n该不会是计算器之类的吧。
0000000000000,咲季,プロデューサーが\nテレビで見たって言ってた気が……,制作人好像说过\n是在电视上看到的……
select,,紐で目印をつけた,用绳子做标记
select,,絵の具で\n目印をつけた,用颜料\n做标记
select,,部下を使った,差遣部下去数
0000000000000,数学教師,その通り！　山の木は多く、\nどれを数えたかもわかりにくい。,没错！山上树木繁多，\n难以分辨哪些已经数过。
0000000000000,数学教師,そこで秀吉は、すべての木に\n紐を結びつけた。,于是秀吉给每棵树\n都系上了绳子。
0000000000000,数学教師,最初に用意した紐と残った紐の差が、\n木の本数というわけだな。,最初准备的绳子与剩余绳子的差额，\n就是树木的总数对吧。
0000000000000,咲季,ふうん、頭いいじゃない。,哼～还挺聪明的嘛。
0000000000000,咲季,なにかに使えないかしら。\nライブを観にきたファンの数とか？,这方法能不能活用呢？\n比如计算来看演唱会的粉丝人数？
0000000000000,数学教師,惜しいな。間違いを防ぐために\n目印をつけるのは合ってるぞ。,可惜差了点。为了防止重复计数\n做标记的思路是对的哦。
0000000000000,数学教師,秀吉は木に紐を結びつけて、\n残った本数を数えたんだ。,秀吉给树木系上绳子后，\n清点了剩余的绳子数量。
0000000000000,数学教師,用意した本数から減っている数が、\n木の本数ということだ。,用准备的总数减去剩余量，\n就能得出树木数量。
0000000000000,咲季,使った道具って紐のことだったのね。\n絵の具だと残った数がわからないか……,原来使用的工具是绳子啊。\n要是用颜料就不知道剩余量了……
0000000000000,咲季,でもプロデューサー、絵の具って\n言ってた気がするのよねー……,可我总觉得制作人\n说的是颜料来着……
0000000000000,数学教師,部下は道具じゃないだろう……\n正解は紐を木にくくりつけたんだ。,部下可不能算工具啊……\n正确答案是给树木系绳子。
0000000000000,数学教師,用意した紐から残った紐を引けば。\n木に結んだ本数がわかるんだな。,用准备的绳子总量减去剩余量，\n就能知道系在树上的数量呢。
0000000000000,数学教師,アイドルも無茶ぶりをされるだろう。\n頭を柔らかくしておいて損はないぞ。,偶像也会遇到无理要求吧。\n保持头脑灵活总没坏处哦。
0000000000000,咲季,さすがに山の木を数えろとは\n言われないでしょうけど……,虽然应该不至于被要求\n去数山上有多少棵树……
0000000000000,咲季,……あるかも。,……说不定真有这种要求呢。
info,adv_pevent_001_hski_school_005.txt,,
译者,,,
