id,name,text,trans
0000000000000,咲季,新製品のドリンク、\nよろしくお願いしまーす！,新推出的饮品，\n请多多关照啦～！
0000000000000,咲季,ふぅ……あら、プロデューサー。\n応援に来てくれたの？,呼啊……哎呀，制作人。\n是来为我们加油的吗？
select,,調子がいい\nですね,状态不错\n呢
select,,可愛いですね,好可爱呢
select,,渡し方を\n工夫してますね,传递方式\n很下功夫呢
0000000000000,咲季,当然っ！　わたしは花海咲季よ！\nあっという間に配ってみせるわ！,那当然！我可是花海咲季！\n马上就能全部发完给你看！
0000000000000,{user},まったく心配する必要はなかった。\nもっと力になれることを探そう。,完全不需要担心。\n再去找些更能帮上忙的事吧。
0000000000000,咲季,な、なぁによ急にぃ～。\nそのために来たの～～～～？,什、什么嘛突然这样～。\n难道是为了这个才来的～～～～？
0000000000000,{user},まったく心配する必要はなかった。\nもっと力になれることを探そう。,完全不需要担心。\n再去找些更能帮上忙的事吧。
0000000000000,咲季,ふっふっふ、気付いた？　思わず\n受け取っちゃう渡し方を研究したのよ！,哼哼哼，发现了吗？我可是专门研究了\n让人忍不住接过来的递送方式哦！
0000000000000,{user},まったく心配する必要はなかった。\nもっと力になれることを探そう。,完全不需要担心。\n再去找些更能帮上忙的事吧。
info,adv_pevent_002_hski_sales_1-001-01.txt,,
译者,,,
