id,name,text,trans
0000000000000,佑芽,ぐぬぬぬぅ～っ！\nお姉ちゃんめぇ～～～～っ！,呜呜呜呜～！\n姐姐太狡猾了～～～～！
0000000000000,佑芽,プロデューサーさんっ！\nお姉ちゃんに勝ちたいです！,制作人同学！\n我想赢过姐姐！
0000000000000,佑芽,クイズで！,用猜谜！
0000000000000,{user},……クイズで負けたんですね？,……是在猜谜比赛输了吗？
0000000000000,佑芽,負けたんですっ！\nゲームセンターのクイズゲームで！,输掉了啦！\n在游戏中心的猜谜游戏上！
select,,勉強するしか……,只能学习了……
select,,練習しましょう,来练习吧
select,,分野を\n極めましょう,专攻\n某个领域吧
0000000000000,{user},クイズは知識の必要な遊びですから、\nまずは勉強するしか……,因为猜谜是需要知识的游戏，\n所以首先只能学习……
0000000000000,佑芽,今から、座学でお姉ちゃんに\n追いつけるかなあ……？,现在开始埋头学习的话，\n能追上姐姐吗……？
0000000000000,{user},大事なのはアイドルとして勝つこと、\nじゃないですか？,重要的是作为偶像取得胜利，\n不是吗？
0000000000000,佑芽,ううーん……それはわかりますけど、\nクイズでも勝ちたいなあ……,唔唔……这个道理我明白，\n但猜谜比赛也好想赢啊……
0000000000000,{user},クイズにも答えるためのテクニックが\nあるらしいですよ。,听说回答猜谜\n也是有技巧的哦。
0000000000000,{user},そのテクニックを習得すれば、\n勝つ確率も上がるのでは？,如果掌握了那些技巧，\n胜率也会提高吧？
0000000000000,佑芽,なるほど……プロデューサーさん！\nそのテクニックってなんですかっ！？,原来如此……制作人同学！\n那些技巧具体是什么呢！？
0000000000000,{user},……知らないので、\nまずはそれを調べましょうか。,……我也不太清楚，\n要不先调查看看？
0000000000000,佑芽,じゃあ、\n今日はクイズ大会ですねっ！,那么，\n今天就是猜谜特训大会啦！
0000000000000,{user},佑芽さんは、スポーツのクイズなら\n得意だと思うんですよ。,我觉得佑芽同学的话，\n体育类题目应该比较擅长。
0000000000000,佑芽,それはお姉ちゃんも\n一緒じゃないですか？,这方面姐姐\n不也一样吗？
0000000000000,{user},他の分野より差は少ないでしょう。\n極めるならスポーツの知識です。,比起其他领域差距会小一些。\n要专精的话就选体育知识吧。
0000000000000,{user},アイドル活動にも活かせそうな\n気がします。損はしませんよ。,我觉得这也能运用到偶像活动中。\n不会吃亏的哦。
0000000000000,佑芽,プロデューサーさんがそう言うなら！\n全力で覚えますっ！,既然制作人同学都这么说了！\n我会全力记住的！
0000000000000,佑芽,えっと、まずはスポーツ用品店の名前\n……とかっ！？,呃，首先是体育用品店的名字……\n之类的！？
info,adv_pevent_001_hume_activity_001.txt,,
译者,,,
