id,name,text,trans
0000000000000,国語教師,芸術、文芸の1つに俳句がある。\n俳句につきものなのが季語だ。,在艺术与文学中，有一种形式叫俳句。\n而俳句不可或缺的就是季语。
0000000000000,国語教師,季語はその名の通り季節を表す語だが、\n今と昔では暦が異なる。,季语正如其名是表现季节的词汇，\n但古今历法有所不同。
0000000000000,国語教師,そのため、今の感覚では違和感のある\n季語、というものがあるんだ。,因此有些季语用现代人的感觉来看，\n会显得不太协调。
0000000000000,国語教師,花海。スイカ、十一月、夏の空のうち、\n秋の季語はどれだ？,花海同学。西瓜、十一月、夏日晴空，\n其中哪个是秋天的季语？
0000000000000,佑芽,（秋の、きご……\n　えー、どれだろう）,（秋天的、季语……\n 呃——是哪个呢）
0000000000000,佑芽,（プロデューサーさん、\n　助けてーっ！）,（制作人同学，\n 救救我——！）
select,,スイカ,西瓜
select,,十一月,十一月
select,,夏の空,夏日晴空
0000000000000,国語教師,正解！\nよく知ってたな！,答对了！\n懂得真多呢！
0000000000000,国語教師,季語は二十四節気という古い暦に\n割り振られている。,季语是根据二十四节气这种古历法\n来划分的。
0000000000000,国語教師,スイカが食べ頃の8月の大部分は、\n二十四節気で『立秋』にあたる時期だ。,西瓜最佳食用期的八月大部分时间，\n在二十四节气中属于『立秋』时节。
0000000000000,国語教師,だからスイカは秋の季語というわけだ。\n面白いが、ややこしいな。,所以西瓜就成了秋天的季语。\n虽有趣但挺费解呢。
0000000000000,佑芽,（ほんとにややこしいよ～っ！）,（真的超级费解啦～！）
0000000000000,佑芽,（……でも覚えておいたら、\n　役にたつ、かも？）,（……不过要是记住的话，\n 说不定能派上用场？）
0000000000000,国語教師,惜しいな。十一月には立冬という\n日があって、そこからは冬だ。,很接近哦。十一月里有叫立冬的\n节气，从那开始就是冬天了。
0000000000000,国語教師,つまり昔の暦で十一月は冬になる。\n秋と被ってるのが厄介なところだ。,也就是说按古历十一月属于冬季。\n麻烦的是这会与秋季重叠。
0000000000000,国語教師,答えはスイカ。同じような理由で、\n食べ頃の八月には立秋がある。,正确答案是西瓜。同理，\n在最佳食用期的八月里有立秋节气。
0000000000000,国語教師,昔の暦では、八月はもう秋、\nということだな。,按古历来看，八月就已经是秋天了，\n就是这么回事。
0000000000000,佑芽,（昔の季節って、今と全然\n　感覚が違うんだな～）,（古代的时节划分，\n 和现在感觉完全不同呢～）
0000000000000,佑芽,（スイカが秋ってへんなの～）,（西瓜居然是秋天的~好奇怪啊～）
0000000000000,国語教師,わかりやすい外れのつもりだったが、\nまさか選ぶとは……,本来是想弄个明显的错误选项，\n没想到居然会被选中……
0000000000000,国語教師,夏の空はそのまんま夏の季語だ。\n正解はスイカだな。,夏空这个词本身就是夏天的季语。\n正确答案应该是西瓜才对。
0000000000000,国語教師,ところが『スイカ割り』は夏の季語だ。\nテストに出るから注意しろよ。,但是『切西瓜』可是夏天的季语啊。\n考试会考的给我记好了。
0000000000000,佑芽,（テ、テストに出るの！？\n　これが！？）,（考、考试会考这个！？\n 就这个！？）
0000000000000,佑芽,（あれ、スイカって……夏だっけ？\n　秋だっけ？）,（咦，西瓜到底是…夏天的？\n 还是秋天的？）
info,adv_pevent_001_hume_school_008.txt,,
译者,,,
