id,name,text,trans
0000000000000,あさり先生,十王さんは紅茶を飲むことが\n多いようですね。,十王同学好像经常喝红茶呢。
0000000000000,あさり先生,紅茶には健康に嬉しい成分が、\nたくさん含まれているんです。,红茶里含有许多对健康有益的成分。
0000000000000,あさり先生,特に、リラックス効果があると\nいう話はよく聞きますよね♪,特别是经常听说它有放松效果呢♪
0000000000000,あさり先生,では、リラックス効果があるのは、\nどのような成分でしょう？,那么，具有放松效果的是哪种成分呢？
select,,テアニン,茶氨酸
select,,タンニン,单宁酸
select,,糖分,糖分
0000000000000,あさり先生,正解です！　もしかして、\n十王さんに聞いていましたか？,答对了！该不会是向十王同学打听过了吧？
0000000000000,あさり先生,テアニンは紅茶の渋みの奥にある\nうまみや甘みをかもし出す成分です。,茶氨酸是能带出红茶涩味背后鲜甜滋味的成分。
0000000000000,あさり先生,ふたりとも、\n日々忙しく過ごしているでしょうし……,你们两个平时都过得很忙碌吧……
0000000000000,あさり先生,一緒に紅茶を飲んでリラックスするのも\nいいかもしれませんね♪,一起喝红茶放松一下或许也不错呢♪
0000000000000,あさり先生,惜しい！　正解はテアニンです。,可惜！正确答案是茶氨酸。
0000000000000,あさり先生,タンニンも紅茶に含まれる代表的な\n成分ではありますね。,单宁酸也是红茶中含有的代表性成分呢。
0000000000000,あさり先生,殺菌や抗菌作用を持つ成分です。,这是具有杀菌和抗菌作用的成分。
0000000000000,あさり先生,風邪を引かないように、予防として\n紅茶を飲むのもいいかもしれませんね。,为了预防感冒，喝点红茶或许也不错。
0000000000000,あさり先生,アイドルも、プロデューサーも\n健康が第一です♪,偶像也好，制作人也好，健康都是第一位的♪
0000000000000,あさり先生,それは紅茶ではなく、\n角砂糖に入っている成分では……？,那个不是红茶里的成分，而是方糖里的……？
0000000000000,あさり先生,正解はテアニンです！,正确答案是茶氨酸！
0000000000000,あさり先生,糖分は大切なエネルギー源ですが、\n摂りすぎには要注意ですよ！,糖分虽然是重要的能量来源，但要注意别过量摄入哦！
0000000000000,あさり先生,紅茶を飲むときのお砂糖はほどほどに。,红茶里加的砂糖要适量。
0000000000000,あさり先生,健康を害してしまっては、\n元も子もありませんからね！,要是把身体搞坏了的话，\n可就得不偿失了呢！
info,adv_pevent_001_jsna_school_007.txt,,
译者,,,
