id,name,text,trans
0000000000000,千奈,おはようございます……\nんっ……,早上好……\n嗯……
0000000000000,{user},おはようございます。\nいい天気ですね。,早上好。\n天气真不错呢。
0000000000000,千奈,ふぁぁっ……\nすみません、はしたない……,哈啊……\n抱歉，失态了……
0000000000000,{user},確か、午後から花海さんたちと\n約束があるんですよね。,我记得下午和花海同学\n有约对吧。
select,,楽しみで\n眠れなかった？,是因为太期待\n睡不着吗？
select,,お昼寝\nしましょうか,要不要\n睡个午觉
select,,散歩をしましょう,去散步吧
0000000000000,千奈,そっ！\nそれは……！,啊！\n那个是……！
0000000000000,千奈,……おっしゃるとおりですわ。\n楽しみでなかなか寝付けず……,……您说得对。\n因为太期待所以一直睡不着……
0000000000000,{user},倉本さんらしいですね。\nでは時間までゆっくりしましょう。,很有仓本同学的风格呢。\n那么在约定时间前好好休息吧。
0000000000000,千奈,ありがとうございます……\n寝てしまったら起こしてください……,谢谢……\n要是我睡着了请叫醒我……
0000000000000,{user},寝不足では存分に\n楽しめないでしょう。,睡眠不足的话\n就不能尽情享受了吧。
0000000000000,千奈,それは……むにゃむにゃ……\nよいおかんがえ……,那个……呼噜呼噜……\n您说得对……
0000000000000,千奈,ですがせっかくの……先生との……\nいきぬき……,但是难得和……老师一起……\n喘口气……
0000000000000,千奈,せんせい……よろしければ\nごいっしょに……ぐぅ……,老师……如果可以的话\n请一起……呼……
0000000000000,{user},ゆったりと体を動かせば、\n目も覚めますよ。,轻轻活动身体的话，\n也能让头脑清醒哦。
0000000000000,千奈,うぅ、おはずかしい……,呜，好难为情……
0000000000000,千奈,よろしくお願い\nいたしますわぁ……ふあぁ……,那就拜托您了……\n哈啊……
info,adv_pevent_001_kcna_activity_010.txt,,
译者,,,
