id,name,text,trans
0000000000000,あさり先生,アイドルの仕事の1つに\nグラビアがあります。,偶像的工作之一\n就是拍摄写真集。
0000000000000,あさり先生,自身の宣伝や服の宣伝、\n場所の宣伝などに使われますが……,可以用来宣传自己、服装、\n或是某个地方……
0000000000000,あさり先生,そもそも『グラビア』とは\n何に由来する言葉でしょう？,说起来『写真集』这个词\n究竟源自什么呢？
0000000000000,千奈,えっと、えっと……\nグラビアさんという人のお名前ですわ！,那个，那个……\n是一位叫写真集先生的人名呢！
0000000000000,あさり先生,確かにいそうな名前ですが……\n残念！　不正解です。,确实像会有的名字……\n可惜！答错了。
0000000000000,千奈,うぅ……わかりませんわぁ……\n先生っ！　教えてくださいませ！,呜……人家不知道啦……\n老师！请教教我！
select,,印刷の技術,印刷技术
select,,水着作成の種類,泳装制作种类
select,,人の名前,人名
0000000000000,あさり先生,正解です！\nグラビア印刷という手法があるんです。,答对了！\n有种技术叫做凹版印刷。
0000000000000,あさり先生,色の濃淡を表現するのに優れていて、\n写真に最適なんですね。,特别擅长表现色彩浓淡，\n非常适合用来印刷照片。
0000000000000,あさり先生,今は技術が進んでいるので、\nあまり使われなくなりましたが……,现在技术进步了，\n已经不太使用这种技术了……
0000000000000,千奈,その名前はまだ残っているのですね。,不过这个名字倒是保留下来了呢。
0000000000000,千奈,わたくしも名前が残れば、\nお爺様に自慢できますわ。,要是人家的名字也能流传下去，\n就可以向爷爷炫耀了呢。
0000000000000,千奈,先生っ！　わたくし、\nグラビアやりたいですわ！,老师！人家、\n想拍写真集！
0000000000000,あさり先生,グラビアは水着だけとは\n限りませんよ？,写真集可不只是\n泳装照哦？
0000000000000,あさり先生,正解は印刷。\nグラビア印刷という手法があるんです。,正确答案是印刷。\n有种技术叫做凹版印刷。
0000000000000,あさり先生,写真を綺麗に印刷できるので、\nこの方法が使われていました。,因为能精美地印刷照片，\n所以过去都使用这种方法。
0000000000000,あさり先生,今は技術が進んでいるので、ほぼ\nオフセット印刷になりましたけどね。,现在技术进步了，\n基本都改用平版印刷了呢。
0000000000000,千奈,では今は、オフセットアイドル……\n水着っぽくないですわね！,那现在就是平版偶像……\n听起来一点都不像泳装呢！
0000000000000,あさり先生,み、水着から離れてください～……,请、请离泳装远一点～……
0000000000000,あさり先生,{user}くん……\nもしかして寝てました……？,{user}……\n该不会睡着了吧……？
0000000000000,千奈,先生……わたくしのプロデュースで\nお疲れですか……？,老师……\n培育我让您受累了吗……？
0000000000000,あさり先生,正解は印刷の種類です。\nグラビア印刷というものがあるんです。,正确答案是印刷的种类。\n有一种叫做写真印刷的技术。
0000000000000,あさり先生,写真の色が綺麗に印刷されるので、\nよく使われていたんですよ。,因为能让照片色彩漂亮地呈现，\n所以过去经常被使用呢。
0000000000000,千奈,ふむふむ……\n勉強になりますわ……！,嗯嗯……\n真是受益匪浅……！
0000000000000,千奈,先生っ！　わたくし、グラビアの\nことをもっと学びたいですわ！,老师！\n我想了解更多关于写真印刷的知识！
info,adv_pevent_001_kcna_school_009.txt,,
译者,,,
