id,name,text,trans
0000000000000,千奈,初星学園の先輩とのトークイベント……\nき、緊張しますわ。,和初星学园前辈的谈话活动……\n好、好紧张啊。
0000000000000,{user},先に緊張をほぐしましょう。\nアドバイスをします。,先来放松一下心情吧。\n我来给你些建议。
select,,観客は\nカボチャです,把观众\n当成南瓜就好
select,,実家の力が\nあります,家里\n有背景
select,,最初に\n一発ギャグを,一开始先来\n个搞笑段子
0000000000000,千奈,そっ、それはトレーナーも言っていた、\n魔法の言葉ですわね！,这、这个训练师也说过，\n是魔法咒语呢！
0000000000000,{user},……なんとか気持ちをほぐせた。\nこれでトークも大丈夫なはずだ。,……总算让心情平静下来了。\n这样谈话应该就没问题了。
0000000000000,千奈,だから失敗しても平気、ですわね……\n平気、平気……,所以就算失败也没关系，对吧……\n没关系，没关系……
0000000000000,{user},……なんとか気持ちをほぐせた。\nこれでトークも大丈夫なはずだ。,……总算让心情平静下来了。\n这样谈话应该就没问题了。
0000000000000,千奈,それだけは、やってはダメな\n気がしますわっ！,唯独那个绝对不能做，\n我有这种感觉！
0000000000000,{user},……なんとか気持ちをほぐせた。\nこれでトークも大丈夫なはずだ。,……总算让心情平静下来了。\n这样谈话应该就没问题了。
info,adv_pevent_002_kcna_sales_4-002-01.txt,,
译者,,,
