id,name,text,trans
0000000000000,{user},葛城さん、化粧品売り場が\n気になっているようですね。,葛城同学，你好像对\n化妆品柜台很感兴趣呢。
0000000000000,リーリヤ,あの、清夏ちゃんに\nおすすめされたんです。,那个…是被清夏\n推荐的呢。
0000000000000,リーリヤ,それで色付きのリップクリームに\n挑戦しようかなって……。,所以想试试看\n有颜色的润唇膏……
0000000000000,リーリヤ,センパイはオレンジとピンク、\nどっちがいいと思いますか……？,前辈觉得橘色和粉色\n哪个更适合我……？
select,,オレンジ\nでしょうか？,橘色\n怎么样？
select,,ピンク\nでしょうか？,粉色\n怎么样？
select,,どちらも\n似合うかと,我觉得\n两种都很适合
0000000000000,リーリヤ,オレンジ……\n似合いますか……？,橘色……\n适合我吗……？
0000000000000,{user},いつもと違うイメージも\nたまにはいいんじゃないかと。,偶尔尝试不一样的风格\n也不错吧。
0000000000000,リーリヤ,いつもと、違うイメージ……。,不一样的…风格……
0000000000000,{user},チャレンジですね。\n葛城さんにぴったりです。,这就是挑战呢。\n很适合葛城同学哦。
0000000000000,リーリヤ,センパイ……\nわかりました。じゃあオレンジを……！,前辈……\n明白了。那我就选橘色……！
0000000000000,リーリヤ,じゃあ……こっちにしますね。,那就…选这个吧。
0000000000000,{user},おや、あんなに悩んでいたのに、\nそう簡単に決めていいんですか？,哎呀，刚才那么纠结\n这么简单就决定好吗？
0000000000000,リーリヤ,……は、はい。\nもちろんです。,……是、是的。\n当然可以。
0000000000000,リーリヤ,だって……\nセンパイの意見ですから。,因为……\n是前辈的建议嘛。
0000000000000,リーリヤ,……本当に、そう思ってます？,……真的，是这么想的吗？
0000000000000,{user},ええ。どうせならどちらも\n買いましょうか。,嗯。干脆\n两个都买吧。
0000000000000,リーリヤ,え、ええっ……！？,诶，诶诶……！？
0000000000000,リーリヤ,そんな、じ、自分で買います……！\n両方とも……！,不、不用了，我自己买……！\n两个都要……！
info,adv_pevent_001_kllj_activity_009.txt,,
译者,,,
