id,name,text,trans
0000000000000,リーリヤ,す、すごい……！\n清夏ちゃんみたいな人がいっぱい……,好、好厉害……！\n像清夏同学这样的人居然有这么多……
0000000000000,{user},葛城さんもあの中のひとりに\nなるんですよ。とりあえず――,葛城同学也会成为\n其中的一员哦。总之先——
select,,ゆりかごの\nポーズ,摇篮式\n姿势
select,,コブラの\nポーズ,眼镜蛇式\n姿势
select,,孔雀の羽の\nポーズ,孔雀开屏式\n姿势
0000000000000,リーリヤ,う、腕の力がいりそうです……。\nできるかな……,呜、需要手臂的力量呢……。\n不知道能不能做到……
0000000000000,{user},頑張ってるな……これで\nリフレッシュもできるだろう。,很努力呢……这样\n应该也能放松心情吧。
0000000000000,リーリヤ,あれならわたしにも\nできそうです……！,那个的话我应该\n也能做到……！
0000000000000,{user},頑張ってるな……これで\nリフレッシュもできるだろう。,很努力呢……这样\n应该也能放松心情吧。
0000000000000,リーリヤ,え、えぇっ！\nあれ、人間にできるんですか！？,诶、诶诶！\n那个、是人类能做到的吗！？
0000000000000,{user},頑張ってるな……これで\nリフレッシュもできるだろう。,很努力呢……这样\n应该也能放松心情吧。
info,adv_pevent_002_kllj_sales_3-004-01.txt,,
译者,,,
