id,name,text,trans
0000000000000,{user},篠澤さん、ゲームセンターには\nよく来るんですか？,筱泽同学，你经常来\n游戏中心吗？
0000000000000,広,ううん。佑芽たちと\n来たことあるくらい。,唔嗯。只和佑芽她们\n来过几次而已。
0000000000000,広,だから楽しみ。\n面白いの、ある？,所以很期待呢。\n有什么好玩的吗？
0000000000000,{user},そうですね……ゲームセンター\n特有のものといえば……,这个嘛……要说游戏中心\n特有的项目的话……
0000000000000,{user},（体感型ゲームは\n　体力を使いそうだが……）,（体感类游戏\n 感觉会消耗体力……）
select,,ガン\nシューティングを,枪战\n射击游戏
select,,アイスを\n食べましょう,我们去吃\n冰淇淋吧
0000000000000,広,がん、しゅーてぃんぐ……？,枪…战…射…击…？
0000000000000,広,……ゲームセンターの\nおすすめが、アイス？,……游戏中心的推荐\n居然是冰淇淋？
0000000000000,{user},篠澤さん向けかと。,觉得比较适合筱泽同学。
0000000000000,広,……食べたいなら\nそういえばいいのに。,……想吃的话\n直说不就好了。
info,adv_pevent_001_shro_activity_017-01.txt,,
译者,,,
