id,name,text,trans
0000000000000,あさり先生,アイドルの個性は、ときとして\n肩書きやキャッチコピーで表れます。,偶像的个性，有时会通过头衔和宣传语展现出来。
0000000000000,あさり先生,目立つために個性的な肩書きを名乗る\nのは、アイドルに限りませんが。,为了引人注目而取个性头衔这种事，\n并非偶像的专利就是了。
0000000000000,あさり先生,では篠澤さんに質問です。\n次の3つの肩書きのうち……,那么请教筱泽同学。\n在以下三个头衔中……
0000000000000,あさり先生,歴史上、実在した\n肩書きはなんでしょうか！,历史上真实存在过的\n头衔是哪一个呢！
0000000000000,広,なんでしょうか。,是哪一个呢。
0000000000000,{user},（……俺が答えるのか）,（……要我来回答吗）
select,,宇宙大将軍,宇宙大将军
select,,悠久皇帝,悠久皇帝
select,,テラ盛り軍師,巨量军师
0000000000000,あさり先生,凄い！　正解ですよ！\n中国南北朝の武将、侯景の自称です。,厉害！正确答案！\n是中国南北朝时期武将侯景的自称。
0000000000000,あさり先生,実は当時の宇宙はこの世の全てという\n意味で、宇宙空間ではありません。,其实当时的宇宙是指世间万物的意思，\n并非指宇宙空间。
0000000000000,あさり先生,つまり自分は天下一の大将軍だ、\nと名乗ったわけですね。,也就是说他自称是天下第一的大将军，\n是这个意思呢。
0000000000000,広,すごい自信だね。,真是超级自信啊。
0000000000000,広,わたしも名乗ろうかな。\n宇宙アイドル。,我也要自称好了。\n宇宙偶像。
0000000000000,あさり先生,残念っ！\nでも惜しいですよ！,可惜！\n不过很接近正确答案了哦！
0000000000000,広,……テンション高いね。,……情绪真高涨呢。
0000000000000,あさり先生,答えは宇宙大将軍です！,答案是宇宙大将军！
0000000000000,あさり先生,でも資料に残っていないだけで、\n悠久皇帝を名乗った人もいるかも……,不过可能只是史料没记载，\n说不定真有人自称过悠久皇帝……
0000000000000,あさり先生,歴史には、そんな\nロマンがあるんですねー。,历史中就是存在着\n这样的浪漫呢——
0000000000000,広,プロデューサー。\n帰っていいかな。,制作人。\n我可以回去了吗。
0000000000000,あさり先生,ノンノン。さすがにそこまでじゃ\nありませんよ。,不不。倒也不至于到那种程度呢。
0000000000000,あさり先生,答えは宇宙大将軍です。\n侯景という人が名乗った称号です。,答案是宇宙大将军。\n是名为侯景之人自称的称号。
0000000000000,広,同レベル。,同等级别。
0000000000000,あさり先生,ちなみに彼は自分で国を興して\n皇帝に即位してしまいます。,顺便一提他自己建立了国家\n还登基当了皇帝。
0000000000000,あさり先生,それなりの実力はあったわけですね。\nまあ、5ヶ月で滅んじゃったんですが。,说明还是有一定实力的嘛。\n不过啊，五个月就灭亡了就是。
0000000000000,広,……現実は非情。,……现实真是无情。
info,adv_pevent_001_shro_school_006.txt,,
译者,,,
