id,name,text,trans
0000000000000,清夏,ゲーセンデート～♪,电玩城约会~♪
0000000000000,{user},息抜きに遊びに来ただけですよ。,只是来放松一下玩玩而已啦。
0000000000000,清夏,デートじゃん、それ。\n認めちゃいなよ～。,这不就是约会嘛~。\n承认吧承认吧~。
0000000000000,清夏,あ、ほら。プリあるよプリ！,啊，快看。有拍贴机耶拍贴机！
0000000000000,{user},え、ふたりでですか？,诶，两个人一起吗？
0000000000000,清夏,なんでひとりで撮るわけ～？\nそのために来たんだし！,为什么要一个人拍啦~？\n我们就是为这个来的呀！
select,,仕方ないですね,真拿你没办法呢
select,,恥ずかしい\nので……,好难为情\n所以……
0000000000000,清夏,やりーっ♪\nこっちこっち、早く～！,我要拍~♪\n这边这边，快点啦~！
0000000000000,清夏,もしかして撮ったことない？\n最初ダケだって～♪,该不会是第一次拍吧？\n刚开始都会这样的啦~♪
0000000000000,清夏,ほらほらPっち～。,来来P亲~。
0000000000000,{user},次の機会にしましょう。\n心の準備をしておきますから。,下次再说吧。\n我会先做好心理准备的。
0000000000000,清夏,え～～～～～。\nつまんな～～～～い。,诶~~~~~~~~。\n好无聊~~~~~~~~。
info,adv_pevent_001_ssmk_activity_017-01.txt,,
译者,,,
