id,name,text,trans
0000000000000,社会教師,世界には、日本語で書くと思わず\n笑ってしまうような地名がある。,世界上有些地名用日语写出来\n会让人忍不住发笑。
0000000000000,社会教師,さて、紫雲。\n今から島の名前を3つ挙げる。,那么，紫云。\n我现在要列举三个岛屿的名字。
0000000000000,社会教師,そのなかで、実際には『ない』\n地名はどれだろう？,其中哪个是实际上『不存在』\n的地名呢？
0000000000000,清夏,（……それって、2つはあるってコト？）,（……也就是说，有两个是真的？）
0000000000000,清夏,（全部なさそうなんだケド～。\n　なんでかPっちの顔が浮かぶな……）,（感觉好像都不存在呢～。\n 不知道为什么脑海里浮现出P亲的脸……）
select,,ヌルイ島,温吞岛
select,,サムイ島,寒冷岛
select,,アッツ島,阿图岛
0000000000000,社会教師,正解。ヌルイ島という島はない。,正确答案。世界上并不存在叫温吞岛的岛屿。
0000000000000,社会教師,ヌル島と呼ばれるものがあるが、\nこれは地図上にだけ存在する。,虽然有个叫努尔岛的地方，\n但这只在地图上存在。
0000000000000,社会教師,緯度経度がどちらも0で、地図アプリの\n不具合回避のために作られたものだ。,它的经纬度都是0，是为了\n规避地图应用程序故障而设置的。
0000000000000,清夏,つまり架空の島で、\n実際にはないんだ。,也就是说这是个虚构的岛屿，\n实际上并不存在。
0000000000000,清夏,（……じゃあ、何があんだろ？）,（……那到底有什么呢？）
0000000000000,社会教師,残念。\n実際にないのはヌルイ島だ。,很遗憾。\n实际上不存在的是温吞岛。
0000000000000,社会教師,ちなみにサムイ島はタイにある島。\n気候は熱帯。,顺便说一下寒冷岛是泰国的一座岛屿。\n属于热带气候。
0000000000000,社会教師,サムイのに暖かいという\n冗談がある。覚えやすいな。,有个关于寒冷岛却很温暖的\n玩笑话。挺好记的。
0000000000000,清夏,うわー、思い出した……\nサムイのに暑いって言ってた～！,啊～想起来了……\n确实说过寒冷岛很热呢～！
0000000000000,清夏,冗談だと思ってたのに～\nホントにあるんじゃん……,本来以为是开玩笑的～\n原来真的存在啊……
0000000000000,社会教師,残念。\n実際にないのはヌルイ島だ。,很遗憾。\n实际上不存在的是温吞岛。
0000000000000,社会教師,ちなみにアッツ島があるのは\nアメリカのアラスカ州。,顺便说一下阿图岛位于\n美国的阿拉斯加州。
0000000000000,社会教師,名前に反してとても寒いところだ。\nジョークの題材にもなるな。,名字听起来很温暖，实际上却是个寒冷的地方。\n都能拿来当冷笑话题材了呢。
0000000000000,清夏,うわー、思い出した……\nアッツいのに寒いって言ってたな～。,呜哇，想起来了……\n明明叫热却说着好冷啊～。
0000000000000,清夏,冗談だと思ってたのに、\nホントにあるんじゃん……,还以为是在开玩笑，\n结果真的存在啊……
info,adv_pevent_001_ssmk_school_008.txt,,
译者,,,
