id,name,text,trans
0000000000000,手毬,……リズムだけじゃだめじゃないっ！,……光靠节奏感是不行的！
0000000000000,{user},それでもクリアしたのは\n凄いと思いますよ。,即便如此能通关\n我觉得已经很厉害了。
0000000000000,{user},最初は手が追いつかないのが\n普通だと聞きますから。,听说刚开始跟不上动作\n是很正常的。
0000000000000,手毬,それなら、少し難しいのも\nやってみます。,这样的话\n我试着挑战些更有难度的吧。
0000000000000,手毬,ちょっと悔しいし……\nもう慣れました。,虽然有点不甘心……\n但已经习惯了。
select,,応援します,我会为你加油的
select,,今日は\nここまでです,今天就\n到这里吧
0000000000000,手毬,……ク、クリア？\nクリアできた？,……通、通关了？\n真的通关了吗？
0000000000000,{user},ギリギリですが、なんとか。\nさすがに予想してませんでした。,虽然很勉强，但总算完成了。\n老实说完全出乎意料。
0000000000000,手毬,やった……\nやったっ！,成功了……\n我成功了！
0000000000000,{user},よかった。\n楽しめたようですね。,太好了。\n看来你玩得很开心呢。
0000000000000,手毬,っ！,啊！
0000000000000,手毬,そ、そうですね……\nそれなりに楽しめました。,是、是啊……\n还算玩得开心。
0000000000000,手毬,あれっ……？,咦……？
0000000000000,手毬,も、もう終わり！？,这、这就结束了！？
0000000000000,{user},どうしてそんな難しい曲を……,为什么要选这么难的曲子……
0000000000000,手毬,いけると思ったんです！\nそれにやるなら全力で……！,我觉得能行！\n而且要做就要全力以赴……！
0000000000000,{user},（ライブパフォーマンスと\n　同じだ……）,（和现场演出\n 是一样的感觉……）
0000000000000,手毬,なにか言いたいことあるっ！？,你有什么想说的吗！？
0000000000000,{user},成功体験のまま\n帰りましょう。,带着成功的喜悦\n回去吧。
0000000000000,手毬,私が失敗するって言ってるの！？,我都说了会失败的！？
0000000000000,{user},…………,…………
0000000000000,手毬,な、なんで黙り込むの？\nそんなに難しくなるの！？,为、为什么突然沉默啊？\n有这么难吗！？
0000000000000,手毬,……プロデューサー。\nもしかして、経験ある？,……制作人。\n该不会…你有经验？
info,adv_pevent_001_ttmr_activity_017-02.txt,,
译者,,,
