id,name,text,trans
0000000000000,あさり先生,月村さんってとっても\nストイックですよね。,月村同学真的非常\n严于律己呢。
0000000000000,あさり先生,とはいえ朝は苦手なようで、\n髪が跳ねてたりすることも。,不过似乎不太擅长早起，\n头发翘起来的情况也常有。
0000000000000,{user},（あさり先生、担当じゃないのに\n　よく見てるな……）,（亚纱里老师明明不是负责指导的\n 却观察得很仔细呢……）
0000000000000,あさり先生,たとえばお仕事の時、\n身だしなみが崩れていたら……,比如说在工作时，\n如果发现仪容不整的话……
0000000000000,あさり先生,{user}くんは\nどんな風に指摘しますか？,{user}会\n用什么方式指出来呢？
0000000000000,あさり先生,正解があるわけではないので、\n自由に考えてみてください。,并没有标准答案，\n请自由发挥想象。
select,,端的に伝える,直接了当地指出
select,,総点検をするよう\n伝える,提醒她全面检查\n仪容
select,,自分の同じ部分を\nなおす,先整理自己\n相同的部位
0000000000000,{user},月村さんのプロ意識を考えて、\n特に回りくどい言い方はしません。,考虑到月村同学的专业意识，\n我不会采用拐弯抹角的说法。
0000000000000,あさり先生,本人にとっては少し恥ずかしい\nようなことでもですか？,即使是本人可能会觉得\n有点难为情的事情也要说吗？
0000000000000,{user},もちろん、それは気をつけます。\n遠慮しないといったらいいでしょうか。,当然会注意方式的。\n应该说是不客套才对吧。
0000000000000,あさり先生,うん！\n素晴らしいと思います。,嗯！\n我觉得这样很棒。
0000000000000,あさり先生,アイドルとの距離感は難しいですが、\nこれなら心配いらなそうですね♪,虽然和偶像之间的距离感很难把握，\n但这样的话就不用担心了呢♪
0000000000000,{user},自分で見直せば、\n気付けるでしょう。,只要自己检查的话，\n应该就能注意到吧。
0000000000000,あさり先生,きみから指摘はしませんか？,你不会主动指出吗？
0000000000000,{user},常にそばにいられる現場ばかり\nじゃありませんからね。,毕竟不是所有工作场合\n都能时刻陪在身边啊。
0000000000000,あさり先生,なるほど。アイドル自身に習慣を\nつけてもらうわけですね。,原来如此。是要让偶像\n养成自查的习惯对吧。
0000000000000,あさり先生,いいと思います！\nその調子で、成長を見守りましょう！,我觉得很好！\n就这样继续守望她们的成长吧！
0000000000000,あさり先生,具体的には、どういうことでしょうか？,具体是指什么样的做法呢？
0000000000000,{user},髪が跳ねていたら、\n自分の髪を触ります。,要是头发翘起来了，\n就会摸摸自己的头发。
0000000000000,{user},それを見たら月村さんも\n髪に意識が行くと思いますから。,因为要是看到这一幕的话，月村同学\n肯定也会在意起自己的头发吧。
0000000000000,あさり先生,かなり彼女に委ねたやりかたですね。,这还真是相当信任她的做法呢。
0000000000000,{user},はい。さっき言った通り、\nストイックな人ですので。,是的。就像刚才说的，\n因为她是个严于律己的人。
0000000000000,あさり先生,なるほど。なんだか羨ましいですね。\nその信頼関係♪,原来如此。总觉得有点羡慕呢。\n这种信赖关系♪
info,adv_pevent_001_ttmr_school_004.txt,,
译者,,,
