id,name,text,trans
0000000000000,{user},お疲れ様でした。麻央さんは……,辛苦了。麻央同学她……
0000000000000,{user},合格です。ギリギリの結果でしたね。,合格了。不过是很勉强的结果呢。
0000000000000,麻央,……はい。,……嗯。
0000000000000,麻央,合格は合格だけど……,虽然合格是合格了……
0000000000000,麻央,こんな成績じゃ、トップスターには\nなれませんよね……,但这样的成绩，\n根本当不上顶级偶像吧……
0000000000000,麻央,……悔しいですね。\n結果がどうこうよりも、,……好不甘心啊。\n比起结果如何，
0000000000000,麻央,もっと、できたはずなのに、\n実力を出し切れなかった――,明明可以做得更好的，\n却没能完全发挥实力——
select,,反省会を\nしましょう,开反省会吧
select,,カラオケに\n行きましょう,去唱卡拉OK吧
select,,最高の結果ですね,真是最棒的结果呢
0000000000000,{user},合格は合格です。次の最終試験までに、\n反省会をして備えましょう。,合格就是合格。在下次最终考试前，\n开个反省会做好准备吧。
0000000000000,麻央,……そうですね。このままじゃ、\nまた同じ結果になる。,……说得对。这样下去的话，\n又会得到同样的结果。
0000000000000,{user},試験のときの麻央さんを、\n録画しています。,我把麻央同学考试时的表现，\n都录下来了。
0000000000000,{user},一緒に観て、改善できるところを\n探していきましょう。,一起观看录像，\n找出可以改进的地方吧。
0000000000000,麻央,キ、キミと一緒に観るのは、\nなんだか恥ずかしいけど……,和、和你一起看录像，\n总觉得有点难为情……
0000000000000,麻央,わかりました。\nよろしくお願いします。,明白了。\n那就拜托你了。
0000000000000,麻央,……カラオケ？,……卡拉OK？
0000000000000,麻央,散々な結果だったのに、\n遊んでる暇なんてないですよ。,都考得这么糟糕了，\n哪还有闲工夫去玩啊。
0000000000000,{user},中途半端な結果で、\nストレスがたまっているでしょう。,半吊子的成绩，\n压力一定积累了不少吧。
0000000000000,麻央,そりゃあ、まあ、ね……,那个嘛，确实呢……
0000000000000,{user},思いっきり歌って、まずは余計な\nモヤモヤを吹き飛ばしてください。,尽情歌唱吧，先把那些多余的\n烦恼统统吹散。
0000000000000,麻央,……わかりました。,……明白了。
0000000000000,麻央,ボーカルレッスンもかねて、\nいっぱい歌っちゃいますよっ！,正好可以兼顾歌唱训练，\n我要唱个痛快啦！
0000000000000,麻央,どこがですか。\nボクへの皮肉ですか？,哪里好了。\n是在讽刺我吗？
0000000000000,{user},もちろん、試験の結果は、\n最高にはほど遠い。,当然，考试的结果\n离优秀还差得远。
0000000000000,{user},ですが、ここから這い上がって、\n最終試験で逆転してトップになる。,但是，我会从这里爬起来，\n在最终考试逆转夺冠。
0000000000000,{user},麻央さんは、そんなシチュエーションに\n最高に燃えるタイプでは？,麻央同学不就是最擅长\n在这种情境下燃起来的类型吗？
0000000000000,麻央,……！？,……！？
0000000000000,麻央,ふっ、なるほど。さすが、\nボクの好みを完璧に把握してますね。,呵，原来如此。不愧是你，\n把我的喜好摸得一清二楚呢。
0000000000000,麻央,どん底から這い上がってスターになる。\nそれも悪くありません。,从谷底逆袭成为明星。\n这样的剧本也不坏。
0000000000000,麻央,落ち込んでいる暇なんてありませんね。,根本没有消沉的时间呢。
0000000000000,麻央,次こそは、トップをとりますよ、\nプロデューサー！,下次一定要拿下第一名，\n制作人！
info,adv_pstory_001_amao_after-audition-mid-normal-04.txt,,
译者,,,
