id,name,text,trans
0000000000000,麻央,おはようございます、\nプロデューサー。,早上好，\n制作人。
0000000000000,麻央,今日もレッスン頑張ります！,今天也会努力训练的！
select,,ドリンクをどうぞ,请用饮品
select,,気合が\n入っていますね,干劲十足\n呢
0000000000000,麻央,これ、ボクのお気に入りのやつ、\nよくわかりましたね。,这个是我最喜欢的款式，\n你居然发现了呢。
0000000000000,{user},プロデューサーとして、当然です。,作为制作人，这是理所当然的。
0000000000000,麻央,ふふ、よく見てくれているんですね。,呵呵，原来你一直都有好好关注我呢。
0000000000000,麻央,ありがとうございます。\nこれを飲んで頑張りますよ！,非常感谢。\n喝了这个我会继续加油的！
0000000000000,麻央,プロデューサーのおかげで、\n新しいボクが見えてきたんです。,多亏了制作人，\n我才能看到全新的自己。
0000000000000,{user},それはよかったです。,那真是太好了。
0000000000000,麻央,しっかり前に進めている……\nその実感があると全然違いますね。,能切实感受到自己正在前进……\n这种感觉真的完全不同呢。
0000000000000,麻央,この調子なら、順調に\nスキルアップできそうです！,照这个势头的话，\n技能一定能顺利提升！
info,adv_pstory_001_amao_opening-true-02.txt,,
译者,,,
