id,name,text,trans
0000000000000,{user},麻央さん、オーディションの\n結果が出ました。,麻央同学，试镜的\n结果出来了。
0000000000000,{user},合格です。,合格了。
0000000000000,麻央,ふふっ、やりました。,呵呵，太好了。
0000000000000,麻央,でも、コンディションがよければ、\nもっと上位を狙えましたね。,不过如果状态更好的话，\n应该能拿到更高名次呢。
0000000000000,{user},そうですね。調子の上げ下げは、\nプロでも難しいところですが、,是啊。状态的起伏\n就算是职业偶像也很难把控，
0000000000000,{user},常に好調を維持することを\n心がけていきましょう。,我们要努力\n保持最佳状态才行。
0000000000000,麻央,わかりました。,明白了。
0000000000000,麻央,それにしても、今回のステージは、\nさすがに手強かったですね。,话说回来，这次的舞台\n确实很难对付呢。
0000000000000,{user},ここまで上がってくるのは、\n強豪校ばかりですから。,能晋级到这个阶段的\n都是强校啊。
0000000000000,麻央,極月学園のあの子も、なかなかの\nパフォーマンスでしたよ。,极月学园那个孩子\n表现也很出色哦。
0000000000000,{user},……そうですね。\n正直、驚きました。,……确实。\n说实话很让人吃惊。
0000000000000,{user},ですが、白草四音の実力は、\n彼女をはるかに上回ります。,但是白草四音的实力\n远在她之上。
0000000000000,麻央,……――,……——
0000000000000,{user},次の『QUARTET』までに、\nより完璧に仕上げていきましょう。,在下次『QUARTET』之前\n我们要准备得更加完美。
0000000000000,麻央,はいっ！,是！
info,adv_pstory_002_amao_after-audition-b-normal-03.txt,,
译者,,,
