id,name,text,trans
0000000000000,あさり先生,いよいよ、最終試験も間近に\n迫ってきましたね。,终于，最终考试也\n近在眼前了呢。
0000000000000,あさり先生,悔いの残らないよう、\n気合を入れて頑張りましょう！,为了不留遗憾，\n让我们一起加油吧！
0000000000000,あさり先生,最後の追い込み、何を重点的に\nレッスンしますか？\n,最后的冲刺阶段，\n要重点训练什么内容呢？
select,,ボーカルを\n重点的に,重点提升\n歌唱能力
select,,ダンスを重点的に,重点提升舞蹈能力
select,,ビジュアルを\n重点的に,重点提升\n表现能力
0000000000000,あさり先生,自信を持って歌えるよう、\n調子を整えましょう！,为了能自信地歌唱，\n让我们调整好状态吧！
0000000000000,あさり先生,審査員がくぎ付けになるような\nダンスに仕上げましょう！,让我们打磨出让评委\n目不转睛的舞蹈吧！
0000000000000,あさり先生,最高のパフォーマンスをするために、\n魅せ方の最終調整をしていきましょう！\n,为了呈现最棒的表演，\n最后调整一下表现方式吧！
0000000000000,あさり先生,最終試験で悔いが残らないように、\nしっかりと仕上げましょうね！\n,为了在最终考试中不留遗憾，\n一定要完美收尾哦！
0000000000000,あさり先生,ファイトー、オー！,Fight——噢！
info,adv_pstory_001_cmmn_before-hard-final-normal-01.txt,,
译者,,,
