id,name,text,trans
0000000000000,あさり先生,ここまでのプロデュース、\nお疲れさま！,至今为止的培育工作，\n辛苦你了！
0000000000000,あさり先生,中間試験前、最後の追い込みですね。,期中考试前的最后冲刺阶段了呢。
0000000000000,あさり先生,ぐっと能力を伸ばせるチャンスなので、\nよく考えてレッスンをしましょう。,这可是大幅提升能力的好机会，\n要好好考虑训练内容哦。
0000000000000,あさり先生,さて、\nなにを重点的にレッスンしますか？\n,那么，\n要重点训练哪方面呢？
select,,ボーカルを\n重点的に,重点提升\n歌唱能力
select,,ダンスを重点的に,重点提升舞蹈能力
select,,ビジュアルを\n重点的に,重点提升\n表现能力
0000000000000,あさり先生,歌声を届けることは、想いを\n届けることですからね！,因为传递歌声就是\n传递心意啊！
0000000000000,あさり先生,曲に合った素敵なダンスは、\n見る人を魅了しますからね！,配合曲目的精彩舞蹈，\n能牢牢吸引观众的目光呢！
0000000000000,あさり先生,魅せ方を考えることは、良い\nパフォーマンスにつながりますからね！\n,思考如何展现魅力，\n才能带来出色的表演哦！
0000000000000,あさり先生,実のあるレッスンになるよう、\n頑張ってください。,希望这次训练能有所收获，\n请加油吧。
0000000000000,あさり先生,応援してますよ！,我会为你应援的！
info,adv_pstory_001_cmmn_before-hard-mid-normal-01.txt,,
译者,,,
