id,name,text,trans
0000000000000,あさり先生,{user}くん、\nきみたちが次に参加するのは、,{user}，\n你们接下来要参加的是、
0000000000000,あさり先生,『N.I.A』の目玉となる、\n大きなオーディションです。,『N.I.A』的重头戏、\n一场大型的偶像选拔赛。
0000000000000,あさり先生,ファンの前で、\n本番同然のライブを行う――,在粉丝面前、\n进行堪比正式演出的现场表演——
0000000000000,あさり先生,まさしくファンとアイドルが一体と\nなって競い合う、勝負の場！,这正是让粉丝与偶像融为一体\n相互较量的决胜舞台！
0000000000000,あさり先生,ファン投票数の少ないアイドルには、\n参加資格さえ与えられません。,粉丝投票数不足的偶像、\n甚至无法获得参赛资格。
0000000000000,あさり先生,くれぐれも慎重に、参加する\nオーディションを選んでください。,请务必慎重选择\n要参加的选拔赛。
0000000000000,あさり先生,きみの担当アイドルにとって、,这对你负责的偶像来说、
0000000000000,あさり先生,運命の岐路に\nなるかもしれませんからね。,或许会成为\n改变命运的转折点呢。
info,adv_pstory_002_cmmn_before-audition-select-final-normal-01.txt,,
译者,,,
