id,name,text,trans
0000000000000,{user},お疲れ様でした。藤田さんは……,辛苦了。藤田同学她……
0000000000000,{user},合格です。まずまずの結果でしたね。,合格了。算是相当不错的结果呢。
0000000000000,ことね,………………,………………
0000000000000,{user},藤田さん？,藤田同学？
0000000000000,ことね,えっ……！？\nあ、あたし、合格……？,诶……！？\n啊、我、我合格了……？
0000000000000,ことね,や……やったぁ～～～～！！！！,太……太好啦～～～～！！！！
0000000000000,ことね,プロデューサー！！\nあたし、やれましたぁ！！！,制作人！！\n我、我做到啦！！！
select,,自己分析を\nお願いします,请进行\n自我分析
select,,素晴らしい\n成長です,非常出色的\n成长呢
select,,頑張りましたね,很努力了呢
0000000000000,ことね,う～ん……やっぱ、ダンスが\n上手くいかなかったですねぇ。,嗯～……果然还是舞蹈\n没能发挥好呢。
0000000000000,{user},藤田さんのダンスは、試験の参加者中\n上位だったと思いますよ。,藤田同学的舞蹈水平，在考生中\n应该算是名列前茅哦。
0000000000000,ことね,えへへ～♪　プロデューサーが\nちょー評価してくれてる～♪,诶嘿嘿～♪ 制作人\n超级认可我呢～♪
0000000000000,ことね,だけどあたし……もうちょい\nイケると思うんですよねぇ。,不过我觉得……自己\n还能做得更好啦。
0000000000000,ことね,なので、今日のダンスは50点♪,所以今天的舞蹈只能打50分♪
0000000000000,ことね,次は100点のダンスを\n見せられるといいナ～♡,下次希望能让你看到\n100分的舞蹈呢～♡
0000000000000,{user},ですが、まだまだあなたは伸びます。\n目指すはトップアイドル、ですから。,但是，你的潜力还远不止于此。\n毕竟目标是成为顶级偶像啊。
0000000000000,ことね,ふへへ♡　ちゃーんと褒めてくれる\nプロデューサーが大好きでーっす♪,呜嘿嘿♡ 人家最喜欢\n会认真夸奖我的制作人啦～♪
0000000000000,ことね,ちなみにぃ、あたしのどのへんに\n伸びしろを感じてくれました？,顺便问下～你觉得我\n还有哪些成长空间呀？
0000000000000,ことね,やっぱり、このたぐい稀なる美貌？　\nそれともぉ――,果然是因为这世间罕见的美貌？\n还是说——
0000000000000,{user},藤田さんには、大きなダンスの才能が\nあると思いますよ。,我觉得藤田同学\n在舞蹈方面很有天赋呢。
0000000000000,ことね,ならぁ、今後はそこをぐーんと\n伸ばしていきますネッ♪,那今后就让我\n把这份才能发挥到极致吧♪
0000000000000,ことね,シンプルな誉め言葉がしみるぅ～！,这么直白的夸奖让人好感动～！
0000000000000,ことね,あ～褒められるのって\nめちゃくちゃ嬉し～♡,啊～被人表扬\n真的超级开心～♡
0000000000000,ことね,あたし……ちゃんとアイドル\nやれてるんだなって、実感できます。,我……真的能切实感受到\n自己正在好好当个偶像呢。
0000000000000,{user},いくらでも褒めますよ。\n藤田さんが活躍するたびに。,我会一直表扬你的。\n每当藤田同学活跃的时候。
0000000000000,ことね,なら、次も頑張らなくちゃですね。,那就必须继续努力了呢。
0000000000000,ことね,よぉ～～っし、やるぞぉ～～～～～！,好～～～的，我要加油～～～～～！
info,adv_pstory_001_fktn_after-audition-mid-normal-03.txt,,
译者,,,
