id,name,text,trans
0000000000000,ことね,あっ、プロデューサー。\n来てくれたんですね。,啊，制作人。\n你来了啊。
0000000000000,{user},藤田さん、\nずいぶん落ち着いていますね。,藤田同学，\n你看起来相当镇定呢。
0000000000000,ことね,いやいや、そんなことないですよ。\nすごく緊張してます。,没、没有的事啦。\n其实超级紧张的。
0000000000000,{user},むしろ普段よりも、冷静に見えますが。,倒不如说比平时\n看起来更冷静呢。
0000000000000,ことね,や～、後がないんでぇ。しくじったら\n次があるかわかんないですしぃ。,哎呀～因为没退路了嘛。\n要是搞砸了可能就没下次啦～
0000000000000,ことね,最後かもって思ったら、\nまぁ……こんな感じに？,想着这可能是最后一次，\n就……变成这样了？
select,,いい精神状態\nですね,精神状态\n很不错呢
select,,リラックス\nしましょう,放轻松\n一点吧
select,,初心を思い出して\nください,请回想起\n初心吧
0000000000000,{user},――結構。このままいきましょう。,——很好。就保持这样上场吧。
0000000000000,ことね,あの～、ふつーそこは優しい言葉とか\n掛けてくれるところなんじゃ？,那个～一般来说这时候\n不是该说些温柔的话吗？
0000000000000,{user},不要でしょう。,没这个必要。
0000000000000,{user},ここまで覚悟が決まったアイドルなど、\n見たことがない。,从未见过觉悟如此\n坚定的偶像。
0000000000000,ことね,褒めてるんですかぁ、それぇ。,这是在夸我吗～？
0000000000000,{user},もちろん。\n……おっと、そろそろ時間です。,当然。\n……啊，快到时间了。
0000000000000,ことね,はいはい。\nじゃー、行ってきますけども。,知道啦知道啦。\n那～我这就去咯。
0000000000000,ことね,いい出来だったら、\nちゃんと褒めてくださいよねっ！,要是表现好的话，\n要好好表扬我哦！
0000000000000,{user},もしダメだったとしても……\nこれで最後になどさせません。,就算搞砸了……\n也绝不会让这成为最后。
0000000000000,{user},決して。,绝对不会。
0000000000000,ことね,………………………………………………,………………………………………………
0000000000000,{user},……藤田さん？,……藤田同学？
0000000000000,ことね,嬉しいですけど……\nちょーうれしーですけどぉっ……！,虽然很开心……\n超~级~开~心~的啦……！
0000000000000,ことね,本番終わってから\n言ってくださいよぉ～～～～～！,请等正式演出结束后\n再说啦~~~~~~！
0000000000000,ことね,あ゛ぁ～～張り詰めた糸がぁ……\nゆるゆるになっていくぅ……,啊啊~~绷紧的弦啊……\n正在渐渐松弛下来呢……
0000000000000,ことね,はぁ……肩の力、抜けちゃいました。\nてわけでっ、いってきまーっす。,哈啊……肩膀的力气都卸掉了。\n那么，我出发啦~。
0000000000000,{user},稼げるアイドルを目指すのでしょう。,不是要以能赚钱的偶像为目标吗。
0000000000000,ことね,……そーでした。,……是这样呢。
0000000000000,ことね,こんなところでおもーくなってちゃ、\nダメですよね。,在这种地方变得消沉的话，\n可不行呢。
0000000000000,ことね,……よしっ。\nやるだけやるかぁ～～～～～～～～！,……好嘞。\n全力去做吧~~~~~~~~！
0000000000000,ことね,プロデューサー、行ってきますッ！！！,制作人，我出发了！！！
info,adv_pstory_001_fktn_before-audition-final-normal-01.txt,,
译者,,,
