id,name,text,trans
0000000000000,ことね,はぁ～……\n落ち着けぇ、落ち着けぇ。,哈啊～……\n冷静、冷静下来啊。
0000000000000,ことね,まずは、ここを突破すること。\nそれが大事……だいじぃ……,首先，要突破这里。\n这才是最重要的……最重要的……
0000000000000,ことね,ううぅ……あぁぁ～……,呜唔……啊啊啊～……
0000000000000,ことね,もうだめだぁ……おしまいだぁ……,已经不行了啦……完蛋了啦……
0000000000000,ことね,……あのぉ～、プロデューサぁ～？,……那个～制作人～？
0000000000000,ことね,可愛い担当アイドルがぁ、\n緊張してるみたいですよ～？,您可爱的担当偶像，\n好像很紧张呢～？
select,,余裕が\nありそうですね,看起来\n游刃有余呢
select,,褒める準備を\nしておきます,我会准备好\n夸奖的
select,,たくさん緊張して\nください,请尽情紧张\n吧
0000000000000,ことね,ないですよぉ～～～～～～～～～ッ！,才没有啦～～～～～～～～～！
0000000000000,ことね,もー心臓ばっくばくぅ！,人家心脏都要跳出来了啦！
0000000000000,ことね,なんてったって、\n夢への第一歩なんですからっ！,毕竟这可是\n迈向梦想的第一步啊！
0000000000000,ことね,こんなところで躓けないッて\n考えれば考えるほど、がちがちにぃ！,越是想着不能在这种地方跌倒，\n身体就越僵硬啊！
0000000000000,{user},しっかり言語化できている。\nさすが藤田さんです。,表达得很清晰呢。\n不愧是藤田同学。
0000000000000,ことね,過大評価ですってぇ。,您过奖了啦。
0000000000000,ことね,言っときますけど、\n自信とかないですからね？,先说好哦，\n我可没什么自信的？
0000000000000,ことね,負けて当然っ！　\n――くらいの感じですからね！？,输掉也是理所当然的！\n——差不多就是这种感觉啦！？
0000000000000,{user},わかりました。,明白了。
0000000000000,ことね,ううっ……\n信頼の眼差しがぁ～～～～～っ！,呜呜……\n这充满信赖的眼神～～～～～！
0000000000000,ことね,あぁ～～もぉぉ～っ！　\nやるだけやってきますぅ！,啊啊～～真是的～！\n我会尽力去做的啦！
0000000000000,ことね,特になにかしてくれる気配なし！\nあのぉ……プロデューサぁ～？,完全没有要帮忙的意思呢！\n那个……制作人～？
0000000000000,{user},藤田さんなら大丈夫でしょう。\n安心して見ていられます。,藤田同学的话应该没问题的。\n可以放心观看呢。
0000000000000,{user},緊張した程度で、藤田ことねの\nコンディションは崩れませんよ。,只是紧张程度而已，藤田琴音的\n状态不会受到影响哦。
0000000000000,{user},――大丈夫。\nなんの不安もありません。,——没问题的。\n没有任何不安。
0000000000000,ことね,そんな風に言われたら余計に\n緊張しちゃうんですけどぉ！,被这么说反而会\n更加紧张啦！
0000000000000,ことね,大丈夫じゃねーし。\nあたしは不安なんだが～？？？,才不好呢。\n我可是很不安的～？？？
0000000000000,ことね,はぁっ……わかりましたよぉ～。,哈啊……知道啦～。
0000000000000,ことね,そこまで信じてもらったら、\n嬉しい気持ちもありますし？,能被这么信任的话，\n也会觉得开心呢？
0000000000000,ことね,やる気出して～、いってきますッ！,打起精神来～，我出发啦！
0000000000000,{user},不安をすべて吐き出してしまえば、\nすっきりしますよ。,把不安全部吐露出来的话，\n就会轻松很多哦。
0000000000000,ことね,えぇ～、そーゆーものですかぁ？　\nじゃー遠慮なく。…………すぅ。,诶～，是这样的吗？\n那我就不客气了。…………呼。
0000000000000,ことね,ああああーーーーーーー！！！\n緊張するぅぅううう！！,啊啊啊啊——————！！！\n好紧张啊啊啊！！
0000000000000,ことね,ここで失敗したら借金返せなくて\n人生お先真っ暗だぁ～～～～～！！！,要是这里失败的话就还不上债务\n人生就完蛋啦——————！！！
0000000000000,ことね,あーッ、すっきりしたぁ！　\nじゃ、行ってきまぁす！,啊——，舒服多了！\n那，我出发啦！
0000000000000,{user},……こっちが緊張してきました。,……反而让我开始紧张了。
0000000000000,ことね,あはははっ――あたしの代わりに、\n超心配しててくださいっ♪,啊哈哈哈——就请你代替我\n超级担心吧♪
info,adv_pstory_001_fktn_before-audition-mid-normal-01.txt,,
译者,,,
