id,name,text,trans
0000000000000,{user},お疲れ様でした。秦谷さんは……,辛苦了。秦谷同学她……
0000000000000,{user},……不合格でした。,……不合格。
0000000000000,美鈴,そ、う……ですか。,这、样啊……
0000000000000,美鈴,あの……プロデューサー。,那个……制作人。
0000000000000,美鈴,わたしに失望されましたか？,对我感到失望了吗？
select,,いいえ,没有
select,,どうして\nそんなことを？,为什么\n会这么想？
select,,その台詞が出て\nくるということは,你会说出\n这样的话
0000000000000,{user},そんなことはありえません。,那种事绝不可能发生。
0000000000000,美鈴,……よかった。,……太好了。
0000000000000,美鈴,これまでの日々で……\nよくわかりました。,通过这些日子的相处……\n我深深明白了。
0000000000000,美鈴,プロデューサーのお力添えは、\nわたしにとって……,制作人的鼎力相助\n对我来说……
0000000000000,美鈴,なくてはならないものだ、と。,是无可替代的。
0000000000000,美鈴,どうかお気を落とさず……\nしばし、お待ちください。,请您千万不要气馁……\n请稍等片刻。
0000000000000,美鈴,あなたの不安を、\nすべて拭い去ってみせます。,我会将您所有的不安\n统统消除给您看。
0000000000000,美鈴,あなたはわたしにとって、必要な方。,您对我来说是必不可少的人。
0000000000000,美鈴,いなくなられるのは……\nとても困ります。,如果您不在了……\n我会非常困扰的。
0000000000000,美鈴,それに……わたしが負けたせいで、\nあなたが落ち込んだり……,而且……如果因为我落败\n让您消沉不已……
0000000000000,美鈴,ショックを受けてしまったのなら……,受到打击的话……
0000000000000,美鈴,なんとかしないと。,我必须想办法才行。
0000000000000,{user},失望などしてはいませんし……\n落ち込んでもいませんが。,我并没有感到失望……\n也没有消沉。
0000000000000,{user},担当アイドルの斬新な\nリアクションに困惑しています。,只是对负责偶像的\n新奇反应感到困惑而已。
0000000000000,美鈴,？　よく、わかりませんが……,？ 虽然不太明白……
0000000000000,美鈴,お元気そうで、よかったです。,您看起来精神很好，真是太好了。
0000000000000,{user},秦谷さん自身は、\n落ち込んだり……,秦谷同学自己\n似乎并没有沮丧……
0000000000000,{user},ショックを受けたりは、\nしていないようですね。,也没有受到打击的样子呢。
0000000000000,美鈴,はい……残念に思ってはいますが。,是的……虽然觉得遗憾。
0000000000000,美鈴,やるべきことが、\n変わるわけではありませんので。,但该做的事\n并不会因此改变。
0000000000000,{user},それなら……\n失望なんて、とんでもない。,既然如此……\n说什么失望就太失礼了。
0000000000000,{user},あらためて、惚れ直しました。,反而让我重新着迷了呢。
0000000000000,美鈴,まあ……敗者に掛ける言葉とは\n思えません。,嘛……这可不像是\n对败者该说的话。
0000000000000,美鈴,今後とも……末永く、\nよろしくお願いいたします。,今后也……请永远\n多多关照。
info,adv_pstory_001_hmsz_after-audition-final-failure-01.txt,,
译者,,,
