id,name,text,trans
0000000000000,{user},お疲れ様でした。秦谷さんは……,辛苦了。秦谷同学她……
0000000000000,{user},……不合格でした。,……不合格。
0000000000000,美鈴,プロデューサー、\n力及ばず申し訳ございませんでした。,制作人，\n很抱歉我能力不足。
0000000000000,美鈴,敗因は、なんだったのでしょうか？,失败的原因是什么呢？
select,,経験不足です,经验不足
select,,相手が強かった,对手太强了
select,,あっさりして\nいますね,说得\n真干脆呢
0000000000000,{user},秦谷さんは、中等部ナンバーワン\nユニットのメンバーですが――,秦谷同学虽然是中等部第一\n组合的成员——
0000000000000,{user},ソロアイドルとしては\nまだまだです。,但作为solo偶像\n还远远不够。
0000000000000,美鈴,おっしゃるとおりですね。,您说得对呢。
0000000000000,美鈴,では……改めて。\nゆっくりと、ほどほどに……,那么……重新开始。\n慢慢地，循序渐进地……
0000000000000,美鈴,歩き出しましょう。,前进吧。
0000000000000,美鈴,はい、おっしゃるとおりです。,是的，您说得对。
0000000000000,美鈴,自信はあったのですが……\nわたしもまだまだでしたね。,虽然原本很有自信……\n但我也还差得远呢。
0000000000000,美鈴,今回は残念な結果に終わりましたが……,这次虽然以遗憾的结果告终……
0000000000000,美鈴,実力を付けて、\n再チャレンジしたいです。,但我想提升实力，\n再次挑战。
0000000000000,{user},プロデューサーの台詞を\n奪わないでください。,请不要抢\n制作人的台词。
0000000000000,{user},……秦谷さん。,……秦谷同学。
0000000000000,美鈴,なんですか、プロデューサー？,怎么了，制作人？
0000000000000,{user},『がんばれ』とは……\n……言いませんからね。,『加油』这种话……\n……我是不会说的哦。
0000000000000,美鈴,はい……急ぐことなく\n勝ってみせます。,好的……我会不紧不慢地\n赢得胜利给你看。
0000000000000,{user},悔しくはないんですか？,难道不会觉得不甘心吗？
0000000000000,美鈴,――――――――――いいえ。,——————————不会。
0000000000000,美鈴,わたしに勝った方のお名前は……\n決して忘れません。,战胜我的人的名字……\n我绝不会忘记。
0000000000000,美鈴,あわてず、静かに、歩みを進めて……,不要慌张，保持冷静，稳步前进……
0000000000000,美鈴,じっくりと……\n追い抜いていきましょうね。,慢慢地……\n超越过去吧。
info,adv_pstory_001_hmsz_after-audition-mid-failure-01.txt,,
译者,,,
