id,name,text,trans
0000000000000,{user},……さて、プロデュースもこれで\n一区切りですね。,……那么，偶像培育工作到这里\n就告一段落了呢。
0000000000000,美鈴,あっという間に感じました。,感觉只是一转眼的事。
0000000000000,美鈴,プロデューサーに声をかけて\nいただいた日が昨日のことのようです。,制作人向我搭话的那天\n仿佛就发生在昨天。
0000000000000,美鈴,あれから歩みを止めることなく\n歩き続けてきましたのに……,从那以后我从未停下脚步\n一直努力走到现在……
0000000000000,美鈴,よき結果を残せず、申し訳ありません。,没能取得理想成绩，非常抱歉。
select,,着実に前に\n進んでいます,正在稳步\n向前迈进
select,,気が早いですね,你也太心急了吧
0000000000000,{user},あなたなら……歩みを止めなければ、\nいつかたどり着くでしょう。,如果是你的话……只要不停止前进，\n总有一天会抵达目标的。
0000000000000,美鈴,あなたの信頼に、応えたいと思います。,我想要回应\n你对我的信任。
0000000000000,{user},我々の方針を思い出してください。,请回想一下我们的方针。
0000000000000,美鈴,ゆっくりと、ほどほどに……\nマイペースで前へと進む。,慢慢地、适可而止地……\n按照自己的节奏前进。
0000000000000,美鈴,まさかわたしが\n言われる側になるなんて。,没想到会轮到我\n被别人这么说。
0000000000000,美鈴,わたしのプロデューサーが、\nあなたでよかった。,我的制作人是\n你真是太好了。
0000000000000,美鈴,あらためて、そう思います。,此刻我再次这么觉得。
0000000000000,美鈴,どうか今後とも末永く……\nよろしくお願いいたします。,愿我们今后也能长久相伴……\n还请多多指教。
info,adv_pstory_001_hmsz_ending-normal-04.txt,,
译者,,,
