id,name,text,trans
0000000000000,美鈴,プロデューサー、\nおはようございます。,制作人，\n早上好。
0000000000000,{user},おはようございます。\n今日は時間ピッタリですね。,早上好。\n今天时间刚刚好呢。
select,,ご褒美です,这是奖励哦
select,,今回は発声を\n強化しましょう,这次我们重点\n强化发声训练吧
0000000000000,美鈴,まあ、ありがとうございます。,哎呀，谢谢夸奖。
0000000000000,美鈴,時間を守ると、\nご褒美を頂けるのでしょうか。,只要守时的话，\n就能获得奖励吗。
0000000000000,美鈴,でしたらプロデューサーにも\nご褒美が必要ですね。,这么说制作人也\n需要奖励呢。
0000000000000,美鈴,発声ですか……,发声训练啊……
0000000000000,美鈴,では……喉を潤すために\nお茶をいれますね。,那么……为了让喉咙保持湿润\n我去泡茶吧。
0000000000000,美鈴,プロデューサーも、\n一緒に休憩しましょう。,制作人也\n一起休息会儿吧。
info,adv_pstory_001_hmsz_opening-true-02.txt,,
译者,,,
