id,name,text,trans
0000000000000,莉波,……いよいよ最終試験だね。,……终于到了最终考核呢。
0000000000000,{user},緊張していますか？,很紧张吗？
0000000000000,莉波,……うん、正直。,……嗯，说实话。
0000000000000,莉波,でも、きみと一緒に頑張ってきたから、\n不安はないよ。,不过，是和你一起努力过来的，\n所以并不不安哦。
0000000000000,{user},はい、信じてください――,请相信我——
select,,これまでの努力を,相信我们至今为止的努力
select,,あなたを\n選んだ俺を,相信选择了\n你的我
select,,運命の導きを――,相信命运的指引——
0000000000000,莉波,うん、そうだね。\nやるだけのことは、やってきたと思う。,嗯，是啊。\n我觉得该做的都已经做到了。
0000000000000,{user},はい、あなたの努力はずっと、\n見てきました。,是的，你的努力\n我一直都看在眼里。
0000000000000,{user},あとは、緊張しないように、\n普段通りの実力を出してください。,接下来只要保持平常心，\n发挥出平时的实力就好。
0000000000000,莉波,……うん、きみが見ていてくれるなら、\nきっと、大丈夫……大丈夫……,……嗯，只要有你在台下看着，\n一定没问题的……没问题……
0000000000000,{user},大丈夫です。\n行きましょう――,没问题的。\n我们走吧——
0000000000000,莉波,はいっ、行ってきます！,好的，我出发了！
0000000000000,莉波,……{user}くん。\nけっこう自信家だね。,……{user}。\n你还挺自信的嘛。
0000000000000,{user},そ、そんなことは、ないと思いますが、\nただ……,不、不算是这样，\n只是……
0000000000000,{user},あなたをプロデュースしたいと思った、\nその1点には自信があります。,对于想要培育你的\n这份心意，我有绝对的自信。
0000000000000,莉波,……ふ、ふふ……そっかぁ。\nそれじゃあ、期待には応えないとだね。,……呵、呵呵……这样啊。\n那我不回应这份期待可不行呢。
0000000000000,莉波,緊張が解けたよ、ありがとう。,多亏你，紧张感消失了。
0000000000000,莉波,きみの目が正しかったこと、\nステージで証明してみせるね！,我会用舞台证明，\n你的眼光没有错！
0000000000000,莉波,う、運命……？\n星占いとか、ラッキーアイテム的な？,命、命运……？\n是星座占卜那种，还是幸运物品之类的？
0000000000000,{user},ここであなたと出会えたこと、\nただの偶然と片付けたくありません。,能在这里遇见你，\n我不想简单地归结为偶然。
0000000000000,莉波,う、ん……そう、だね……\n本当に、運命的――,嗯……是啊……\n真的，很命运般地——
0000000000000,莉波,きみとの再会が運命だとしたら、\nまだまだ始まったばかりだね。,如果和你的重逢是命运的话，\n那这一切才刚开始呢。
0000000000000,{user},そうです。こんなところで、\n止まるはずがありません。,没错。在这种地方，\n怎么可能停下脚步。
0000000000000,莉波,うん、なんだか自信がでてきたよ。\nありがとう、{user}くん！,嗯，不知怎么突然有自信了。\n谢谢你，{user}！
info,adv_pstory_001_hrnm_before-audition-final-normal-01.txt,,
译者,,,
