id,name,text,trans
0000000000000,{user},お疲れ様でした、咲季さんは……,辛苦了，咲季同学你……
0000000000000,{user},……不合格でした。,……不合格。
0000000000000,咲季,こっ、このわたしが……不合格……？,居、居然是我……不合格……？
0000000000000,咲季,ぐぬぬぬ……っ……ぐぎぎぎぎぎ……\nぬぐぐぐぐぅうぅ～～～～…………,呜呜呜……呃呃呃……\n咕呜呜呜呜~~~~~~……
0000000000000,咲季,なぁぁあ～～～～もぉ～～～っ！\n悔しい悔しい悔しい悔しぃ～～～っ！！,啊啊啊~~~~真是的~~~！\n好不甘心不甘心不甘心啊~~~！！
select,,反省会を\nしましょう,我们来开个\n反省会吧
select,,まだまだ成長\nできそうですね,看来还有很大的\n成长空间呢
select,,すっきり\nしましたか？,心情\n舒畅些了吗？
0000000000000,咲季,――ふぅっ、そうね。,——呼，是啊。
0000000000000,{user},……急に落ち着かれると\n戸惑うのですが。,……突然这么冷静\n反而让人不知所措呢。
0000000000000,咲季,別に落ち着いてないわ。\n内心ぐっちゃぐちゃよ。,才没有冷静下来呢。\n心里乱成一团了。
0000000000000,咲季,それはそれとして、\n先にやることやりましょう。,那个先放一边，\n把该做的事情做完吧。
0000000000000,咲季,ぐすっ……帰ってから泣くわ。,抽泣……等回去再哭。
0000000000000,咲季,……そう思う？,……你是这么想的？
0000000000000,{user},もちろん。\n多くの課題が見つかりました。,当然。\n发现了许多需要改进的地方。
0000000000000,咲季,わたしもよ――反省したいことや\n改善したいことが山ほどあるわ。,我也是——有太多\n想要反省和改善的地方了。
0000000000000,咲季,まずは、わたしの\n自己分析を聞いてくれる？,首先，能听听我的\n自我分析吗？
0000000000000,咲季,今回の敗因。わたしが\n不合格になっちゃった原因は――,这次失败的原因。我之所以\n会不合格的原因是——
0000000000000,咲季,――という感じ、だと思うんだけど。\n追加があるなら、教えて。,——大概就是这种感觉，你觉得呢？\n如果有补充的话，请告诉我。
0000000000000,{user},わかりました。有意義な\n話し合いができそうですね。,明白了。看来能进行一场\n很有意义的讨论呢。
0000000000000,咲季,当然でしょ！　\nわかっているわね、プロデューサー？,这不是当然的吗！\n你明白的吧，制作人？
0000000000000,咲季,反省して、改善して、\n最速でリベンジするわよ！,好好反省，努力改进，\n我要以最快速度复仇哦！
0000000000000,咲季,ちょっとだけね。,就一点点啦。
0000000000000,咲季,この悔しさも、自分への怒りも、\nリベンジするまで消えないわ。,这份不甘心，对自己的愤怒，\n在复仇之前都不会消失。
0000000000000,咲季,……敗因を整理する。\n手伝って、プロデューサー。,……整理败因吧。\n来帮忙，制作人。
0000000000000,{user},何事も負けた後……失敗した後の\n行動こそが重要です。,无论什么事情，在失败之后……\n采取的行动才是最重要的。
0000000000000,{user},常に最速で動き出す咲季さんを、\n心強く思いますよ。,看到咲季同学总是能最快行动起来，\n让我感到很安心呢。
0000000000000,咲季,ふん、負けて褒められるのは嫌いよ。,哼，我可不喜欢输了还被夸奖。
0000000000000,咲季,だから、勝ったときに褒めなさい。\n存分にね。,所以，等我赢了再夸我吧。\n要尽情地夸哦。
info,adv_pstory_001_hski_after-audition-mid-failure-01.txt,,
译者,,,
