id,name,text,trans
0000000000000,{user},（レッスンの様子を見ておきたいな）,（真想看看训练的样子呢）
0000000000000,咲季,１、２、３、４……,一、二、三、四……
0000000000000,咲季,ここでフィニッシュ！,在这里结束！
0000000000000,咲季,とまぁ、こんな調子よ。\nプロデューサー？,嘛，大概就是这样啦。\n制作人？
0000000000000,{user},見ていたのに気付いていましたか。,原来你发现我在看着啊。
0000000000000,咲季,まぁね。で、どうかしら？,当然啦。那么，觉得如何？
select,,調子が\n良さそうですね,看起来\n状态不错呢
select,,順調に\n成長していますね,正在顺利地\n成长着呢
select,,このままでは\n負けますね,照这样下去\n会输的哦
0000000000000,咲季,……月並みな感想ね。\nそんなのいつものことでしょ？,……真是老套的评价呢。\n这不是和平时一样吗？
0000000000000,{user},いつもよりもさらに素晴らしい、\nという意味ですよ。,我的意思是比平时\n更加出色哦。
0000000000000,{user},さすが咲季さん。\n安心して送り出せます。,不愧是咲季同学。\n可以放心让你出场了。
0000000000000,咲季,と、当然よぉ……えへへっ♡,这、这是当然的啦……诶嘿嘿♡
0000000000000,咲季,このわたしに、任せておきなさいっ！,就尽管交给\n本小姐吧！
0000000000000,咲季,そうね。,也是呢。
0000000000000,咲季,順調に成長して、\n順調に成長速度が鈍ってきているわ。,虽然正在顺利成长，\n但成长速度也逐渐变得迟缓了呢。
0000000000000,咲季,だから、プロデューサー。,所以啊，制作人。
0000000000000,咲季,ここからは、あなたを頼らせて。,从今往后，\n就要依靠你了。
0000000000000,{user},もちろんです。約束しましょう。,当然。我们约定好。
0000000000000,{user},ここからさらにあなたを伸ばす、\nそんなプロデュースを。,我会用培育让你\n更进一步成长的。
0000000000000,咲季,うんっ！　お願いねっ！,嗯！拜托啦！
0000000000000,咲季,ふーん、はっきり言ってくれるわね。,哼~，说得真直白呢。
0000000000000,咲季,かつてないほど絶好調で、\nほとんど無敵のこのわたしに。,面对史无前例状态绝佳，\n近乎无敌的我。
0000000000000,咲季,だけど……うん、正解よ。\nこのままだとわたしは負ける。,不过……嗯，你说得对。\n照这样下去我会输的。
0000000000000,咲季,今日明日とは言わなくとも、\nいつか……近い将来ね。,虽然不敢说就在今明两天，\n但总有一天……在不久的将来吧。
0000000000000,咲季,わたしが無敵なのは、\nいつだってここまでだから。,我的无敌状态，\n从来都只能维持到这个程度而已。
0000000000000,{user},ここからは、\nプロデューサーの出番ですね。,从今往后，\n就该轮到制作人大显身手了呢。
0000000000000,咲季,そういうコト！　覚悟しなさい、\nきっちり役立ってもらうわよっ！,就是这么回事！做好觉悟吧，\n我要让你好好派上用场哦！
info,adv_pstory_001_hski_after-step-2-normal-01.txt,,
译者,,,
