id,name,text,trans
0000000000000,咲季,プロデューサー、\n最近のわたしってどう思う？,制作人，\n你觉得最近的我怎么样？
select,,さらに美しく\nなりましたね,变得更加\n美丽了呢
select,,さらに健やかに\nなりましたね,变得更加\n健康了呢
0000000000000,咲季,ふへへ、わかっちゃう～～～？\nそうなのっ！,嘿嘿，被你发现啦～～～？\n就是这样哦！
0000000000000,咲季,でもね、あなたが用意してくれる\nアイテムのおかげでもあるわ。,不过呢，这也是多亏了你\n为我准备的各种物品。
0000000000000,咲季,えっ、今日もなにかくれるの？\nまったくもぉ……,咦，今天也要给我什么吗？\n真是的……
0000000000000,咲季,プロデューサーって、わたしのことが\nよっぽど好きなのね。,制作人你呀，\n果然非常喜欢我呢。
0000000000000,咲季,まぁね～～～～～～～！！,那当然啦～～～～～～～！！
0000000000000,咲季,日々鍛練を欠かしていないものっ！\n当り前よね～！,每天的锻炼都没有懈怠哦！\n这不是理所当然的嘛～！
0000000000000,咲季,もっともっとスキルアップして、\nトップアイドルまで一直線よ！,我要继续精进技能，\n朝着顶级偶像的目标直线前进！
info,adv_pstory_001_hski_opening-true-02.txt,,
译者,,,
