id,name,text,trans
0000000000000,{user},お疲れ様でした。佑芽さんは……,辛苦了。佑芽同学你……
0000000000000,{user},合格です。素晴らしい結果でしたね。,合格了。真是出色的成绩呢。
0000000000000,佑芽,ありがとうございます！,非常感谢！
0000000000000,佑芽,次は――\nもっともっとがんばりますよっ！,下次——\n我会更加更加努力的！
select,,その口癖は……,这个口头禅是……
select,,ダメです,不行
select,,次は1位を\n取りましょう,下次一定要\n拿到第一名
0000000000000,{user},意識して気持ちを切り替えようと\nするときのものですね。,这是在刻意切换心情时\n会说的话呢。
0000000000000,{user},つまり……今回の結果に、\n満足していないということだ。,也就是说……你对这次的结果\n并不满意。
0000000000000,佑芽,これはお姉ちゃんの受け売りで、\nあたしが言ったら傲慢ですけど――,这是从姐姐那里学来的话，\n由我来说可能显得傲慢——
0000000000000,佑芽,1位以外は負けですから！,不是第一名就是输！
0000000000000,佑芽,上位を取った手ごたえはあります。\nでも、負けるのは嫌いなので。,虽然确实有进入前列的实感。\n但是，我讨厌输的感觉。
0000000000000,佑芽,次は、もっともっとがんばります！,下次，我会更加更加努力的！
0000000000000,{user},明瞭でよろしい。\nもっとも近い『次』は――,很明确的回答。\n最近的『下次』就是——
0000000000000,佑芽,ライブですよねっ！,演唱会对吧！
0000000000000,佑芽,思いっきり歌って！　踊って！,尽情歌唱！尽情跳舞！
0000000000000,佑芽,スッキリしてきます！！,就会神清气爽！！
0000000000000,佑芽,えええっ！？,诶诶诶！？
0000000000000,{user},もっともっと頑張らせると、その次は\nもっともっともっと頑張るでしょう？,让你更加更加努力的话，之后就会\n更加更加更加努力对吧？
0000000000000,佑芽,もちろんです！　もっともっともっと\nもっともぉ～～っと！,当然啦！更加更加更加\n更加～～～努力！
0000000000000,佑芽,がんばりますよっ！,我会加油的！
0000000000000,{user},やめてください。,请住手。
0000000000000,佑芽,なんでですか！？,为什么啊！？
0000000000000,{user},勝ちたいなら『これだけ』……と、\n決めたぶんだけ頑張りましょう。,如果想赢的话『只要做到这点』……就按你决定的份量努力吧。
0000000000000,{user},咲季さんも、\nそうしているはずですよ。,咲季同学\n肯定也是这么做的哦。
0000000000000,佑芽,うぐ……で、でも……,呜…可、可是…
0000000000000,{user},もちろん、佑芽さんの体力を\n余らせておくつもりはない。,当然，我并没有打算\n让佑芽同学的体力有所保留。
0000000000000,{user},今後も限界ギリギリのレッスンを\n続けてもらいます。,今后也请继续参加\n逼近极限的训练吧。
0000000000000,佑芽,なぁんだ、それならオッケーです！\n望むところですよ！！,什么嘛，那样的话完全OK！\n正合我意！！
0000000000000,佑芽,プロデューサーさん、驚かせないで\nくださいよぉ～、もぉ～♪,制作人，别吓唬人啦～\n真是的～♪
0000000000000,{user},…………納得したなら、\n切り替えてライブに集中してください。,…………既然接受了，\n就切换心情专注演出吧。
0000000000000,佑芽,はいっ！,是！
0000000000000,佑芽,もちろんです！,当然！
0000000000000,佑芽,いつまでも負けてばかりじゃ\nいられません！,总不能一直输下去！
0000000000000,佑芽,プロデューサーさん！　\n見ていてくださいね――,制作人！\n请好好看着——
0000000000000,佑芽,いまのあたしにできる\n最高のライブをお見せしますから！,我会献上现在的我\n所能做到的最棒演出！
info,adv_pstory_001_hume_after-audition-final-normal-02.txt,,
译者,,,
