id,name,text,trans
0000000000000,佑芽,おはようございます、\nプロデューサーさんっ！,早上好，\n制作人同学！
0000000000000,佑芽,花海佑芽！　本日！　\n絶好調！！　です！！！,花海佑芽！今天！\n状态绝佳！！！
select,,そんな佑芽さんに\nプレゼントです,这是送给\n佑芽同学的礼物
select,,今回のプロデュース\n計画は……,这次的培育\n计划是……
0000000000000,佑芽,わ～っ、ありがとうございます！,哇～谢谢你！
0000000000000,佑芽,大切に使いますねっ！,我会好好珍惜使用的！
0000000000000,{user},元気すぎて、ケガなどしないように。,别太兴奋了，小心别受伤。
0000000000000,佑芽,もちろんですよ！　しっかりストレッチ\nと水分補給をして……,当然啦！我会好好做伸展运动\n和补充水分……
0000000000000,佑芽,さあ、アイドル活動を始めましょう！,来吧，开始偶像活动吧！
0000000000000,佑芽,アイドルとして、\n新しいスキルを覚えるんですね！,作为偶像，\n要学习新技能呢！
0000000000000,佑芽,よぉ～～っし、成長するぞぉ～～♪,好～嘞，我要成长啦～♪
info,adv_pstory_001_hume_opening-true-02.txt,,
译者,,,
