id,name,text,trans
0000000000000,{user},さて、佑芽さん。\nオーディションです。,那么，佑芽同学。\n该参加选拔赛了。
0000000000000,佑芽,はいっ！　今日は、\nどんなアイドルが相手なんですか？,是！今天要和\n什么样的偶像对决呢？
0000000000000,{user},極月学園の、白草四音さんです。,极月学园的，白草四音同学。
0000000000000,佑芽,あっ、しってます！,啊，我知道她！
0000000000000,佑芽,テレビで『N.I.A』の優勝候補だって\n言われてたひとですよね！,就是电视上说\n是『N.I.A』夺冠热门的那个人对吧！
0000000000000,佑芽,もしかして、\n燐羽ちゃんよりすごいんですか！？,难道说，\n比燐羽还厉害吗！？
0000000000000,{user},それはどうでしょう。強敵であるのは\n間違いありませんが……,这个嘛…虽然毫无疑问\n是个强敌…
0000000000000,{user},まあ、戦ってみればわかります。\nいつも通りにいきましょう。,总之比过就知道了。\n按平常的节奏来就行。
0000000000000,佑芽,それもそうですねっ！,说得也是呢！
0000000000000,佑芽,誰が相手だろうと、\n全力でぶつかるだけですから！,不管对手是谁，\n只要全力以赴就行啦！
0000000000000,佑芽,よお～～～～～～～～～っし！,好～～～～～～～～～嘞！
0000000000000,佑芽,思いっきり助走をつけてぇ～～～～～！,让我先助跑一段距离～～～～～！
0000000000000,佑芽,ドーン！　と優勝候補に、\nぶつかってきま～っす！,咚！这就向夺冠热门\n发起冲击～啦！
info,adv_pstory_002_hume_before-audition-b-normal-01.txt,,
译者,,,
