id,name,text,trans
0000000000000,{user},試験の結果が出ました。,考试成绩出来了。
0000000000000,{user},……不合格です。,……不合格。
0000000000000,星南,………………そう。,………………这样啊。
0000000000000,星南,わかったわ。,我明白了。
select,,落ち着いて\nいますね,你看起来很\n冷静呢
select,,切り替えましょう,让我们转换心情吧
select,,前向きに\n考えましょう,要积极地\n思考问题
0000000000000,星南,この結果に一番ショックを\n受けているのは、,对这个结果最受打击的，
0000000000000,星南,私を慕ってくれていた人たちよ。,是那些一直仰慕着我的人们。
0000000000000,星南,私が狼狽えるわけにはいかないわ。,我可不能自乱阵脚。
0000000000000,星南,こんな結果を出しておいて、\n今更ではあるけれど。,虽然事到如今\n才说这种话有些迟了。
0000000000000,星南,いま、ベストを尽くさない\n理由にはならない。,但这不能成为\n现在不尽全力的理由。
0000000000000,星南,すみやかに再起をはかりましょう。\n力を貸して、プロデューサー。,让我们尽快东山再起吧。\n请助我一臂之力，制作人。
0000000000000,星南,言われるまでもないわ。,不用你说我也知道。
0000000000000,星南,私はもとより、才能に溢れた\n不敗のアイドルなんかじゃない。,我本来就不是什么\n才华横溢的不败偶像。
0000000000000,星南,敗北からのリカバリーは、\n手馴れたものよ。,从失败中重新站起，\n我可是驾轻就熟。
0000000000000,星南,さあ、再起に向けて動きましょう。\n力を貸して、プロデューサー。,来吧，让我们为东山再起行动起来。\n请助我一臂之力，制作人。
0000000000000,{user},変化を求め、攻めたがゆえの結果だと。,这是追求变化、勇于挑战的结果。
0000000000000,星南,……この敗北から得られるものは\nすべて得ておくわ。,……我会从这次失败中\n汲取所有能获得的教训。
0000000000000,星南,とうてい割には合わないし、\nなんの言い訳にもならないけれど。,虽然实在得不偿失，\n也构不成任何借口就是了。
0000000000000,星南,すみやかに再起をはかりましょう。\n力を貸して、プロデューサー。,让我们尽快重整旗鼓吧。\n请助我一臂之力，制作人。
info,adv_pstory_001_jsna_after-audition-mid-failure-01.txt,,
译者,,,
