id,name,text,trans
0000000000000,星南,プロデューサー、結果は？,制作人，结果如何？
0000000000000,{user},合格です。素晴らしい結果でした――\nと、言っていたでしょう。,合格了。是非常出色的成绩——\n我本来想这么说的。
0000000000000,{user},十王星南が相手でなければ。,如果对手不是十王星南的话。
0000000000000,星南,……認識の\nすり合わせをしましょうか。,……需要重新\n统一一下认知吗？
0000000000000,星南,プロデューサー。あなたは……\n今日の私を、どう思う？,制作人。你……\n觉得今天的我怎么样？
select,,一番星に相応しい\n実力です,拥有一等星\n相配的实力
select,,実力が\n足りていません,实力还\n有所不足
select,,可愛らしい\nと思います,我觉得\n很可爱
0000000000000,{user},相手がそれを上回った。\nそう解釈しています。,对方超越了这份实力。\n我是这么理解的。
0000000000000,星南,同感よ。,同感呢。
0000000000000,星南,だからこそ……\nこのままではいけないの。,正因如此……\n不能继续这样下去了。
0000000000000,星南,フフ……精進しなくてはね。,呵呵……必须继续精进才行呢。
0000000000000,{user},今年の初星生徒たちは、\n去年よりもレベルが高いです。,今年初星学园的学生们，\n水平比去年更高了。
0000000000000,星南,同感よ。,同感呢。
0000000000000,星南,皆が……私に追いつき、\n追い越さんとしている。,大家……都在追赶，\n甚至想要超越我。
0000000000000,星南,本当に素晴らしいわ。\nけど、喜んでばかりもいられない。,真是太好了。\n但是也不能一味高兴。
0000000000000,星南,今年の私は、成長して、勝つ。,今年的我会成长，会获胜。
0000000000000,星南,プロデューサー、\n共に高みを目指しましょう。,制作人，\n让我们一起向更高处进发吧。
0000000000000,星南,……また、あなたは……\n不意打ちで……そういうことを……,……又来了，你总是……\n突然就说这种话……
0000000000000,{user},ばっちり付いてきていますよ、\n数値では表せない実力が。,已经完全跟上来了呢，\n那些无法用数值体现的实力。
0000000000000,星南,……そ、そうかしら？,……是、是这样吗？
0000000000000,星南,そこまで言うなら……\n信じるわよ、先輩。,既然你都说到这个份上了……\n我相信你哦，学姐。
info,adv_pstory_001_jsna_after-audition-mid-normal-02.txt,,
译者,,,
