id,name,text,trans
0000000000000,{user},星南さん、おはようございます。,星南同学，早上好。
0000000000000,星南,おはよう、プロデューサー。,早上好，制作人。
select,,これをどうぞ,这个给你
select,,レッスン見直しを\n提案しにきました,我是来提议\n重新审视训练方案的
0000000000000,星南,ありがとう。\nお返しに……これをどうぞ。,谢谢。\n作为回礼……这个给你。
0000000000000,{user},……腕を上げましたね、後輩。,……进步不小啊，学弟。
0000000000000,星南,お褒めいただき光栄よ、先輩。,承蒙夸奖是我的荣幸，学姐。
0000000000000,星南,私も、その話をしようと思っていたの。\n私のプランも見てくれる？,其实我也正想说这件事。\n要不要也看看我的方案？
0000000000000,{user},もちろんです。\n先輩として、採点しましょう。,当然可以。\n作为前辈，让我来评分吧。
0000000000000,星南,フフ……後輩として、拝聴するわ。,呵呵……作为学妹，我会好好聆听的。
info,adv_pstory_001_jsna_opening-true-02.txt,,
译者,,,
