id,name,text,trans
0000000000000,{user},お疲れ様でした、倉本さんは……,辛苦了，仓本同学她……
0000000000000,{user},……不合格でした。,……不合格。
0000000000000,千奈,あぁぁ～～～～～～～っ。,啊啊啊～～～～～～～。
0000000000000,千奈,なんとお詫び申し上げればぁ～！,该怎么道歉才好啊～！
select,,約束してください,请答应我
select,,悔しいですか？,不甘心吗？
select,,胸を張って\nください,请挺起\n胸膛
0000000000000,{user},次は勝つ、と。,说下次会赢。
0000000000000,{user},そうしたら、許します。,这样的话，我就原谅你。
0000000000000,千奈,……先生。,……老师。
0000000000000,{user},まあ、もとより怒ってはいませんが。\nどうでしょう。,嘛，本来也没在生气就是了。\n你觉得呢？
0000000000000,千奈,はいっ！　わかりましたわ！,是！我明白了！
0000000000000,千奈,――次は勝ちます。,——下次一定会赢。
0000000000000,千奈,重い約束ですわね。,真是个沉重的约定呢。
0000000000000,千奈,一度口にしたからには、守りますわ。,既然说出口了，就一定会遵守。
0000000000000,千奈,いいえっ、いいえっ！　\nお世話になった多くの方々に……,不、不是的！\n承蒙那么多人的照顾……
0000000000000,千奈,ただ！　ただ！　\n申し訳ない気持ちでいっぱいですわ！,只是！只是！\n心里充满了愧疚！
0000000000000,千奈,きっと……アイドルなら、\n悔しがらないといけませんの。,作为偶像的话……\n必须感到不甘心才行。
0000000000000,千奈,それができないのは、今日\n競い合った皆様が、まだ遠いから。,之所以做不到，是因为今天\n同台竞技的各位还遥不可及。
0000000000000,千奈,対等ではないからですわ。,因为我们还不够对等。
0000000000000,千奈,重ねてお詫び申し上げます、先生。\n不甲斐ない教え子で……,再次向您致歉，老师。\n都怪我这个不成器的学生……
0000000000000,{user},しようと思っていた助言を、\nすべて先に言われてしまいました。,本想给您提的建议，\n全都被您抢先说完了。
0000000000000,{user},そこまでわかっているのなら、\nなにも心配はいりませんね。,既然您都明白到这个地步，\n那也没什么可担心的了呢。
0000000000000,千奈,見ていてくださいませ、先生！\nわたくし、なってみせますわ！,请您看着吧，老师！\n我一定会证明给您看的！
0000000000000,千奈,負けて悔しがれるアイドルにッ！,让那些败北后懊悔的偶像们——！
0000000000000,{user},……で、できれば勝ちましょうね。,……那个、还是尽量争取胜利吧。
0000000000000,{user},合格こそできませんでしたが……\nいまの倉本さんを見て、,虽然没能通过考核……\n但看到现在的仓本同学，
0000000000000,{user},学園最下位のアイドルだとは、\nもう誰も言わないでしょう。,应该没人再说她是\n学园垫底的偶像了吧。
0000000000000,千奈,先生。わたくし……\n成長していますか？,老师。我……\n有在成长吗？
0000000000000,{user},出会った頃とは見違えるようですよ。\nなにも謝る必要はない。,和初次见面时简直判若两人呢。\n你完全不必道歉。
0000000000000,{user},プロデュースは順調ですから。,培育计划进展得很顺利。
0000000000000,千奈,それなら、落ち込んでいる場合じゃ\nありませんわね。,既然如此，现在可不是\n垂头丧气的时候呢。
0000000000000,千奈,胸を張って、次に進みませんと！,必须昂首挺胸地继续前进才行！
0000000000000,千奈,改めて――\nよろしくお願いいたします、先生！,重新请您——\n多多指教了，老师！
info,adv_pstory_001_kcna_after-audition-final-failure-01.txt,,
译者,,,
