id,name,text,trans
0000000000000,{user},お疲れ様でした、倉本さんは……,辛苦你了，仓本同学……
0000000000000,{user},合格です。最高の結果でしたね。,合格了。这是最棒的结果呢。
0000000000000,千奈,はいっ！,是！
0000000000000,千奈,先生のご指導の賜物ですわ！,这都是多亏了老师的指导！
select,,意外な反応ですね,真是意外的反应呢
select,,少し手を\n貸しただけです,我只是稍微\n帮了点忙而已
select,,自分の仕事を\n果たしたまでです,不过是完成了\n分内的工作罢了
0000000000000,{user},いままでなら、もっと――,要是以前的话，肯定会更加——
0000000000000,千奈,自分を信じられないって顔、\nしてましたわね――きっと。,露出不敢相信自己能力的表情，\n一定是这样呢——
0000000000000,千奈,ふふっ……大丈夫ですわ、先生。,呵呵……没关系的，老师。
0000000000000,千奈,だって、わたくしの実力が、急に\n上がったわけじゃありませんもの。,因为，我的实力又不是\n突然就提升的。
0000000000000,千奈,すこしずぅ……つ……\nすこしずぅ……つ……,是一点一点……滴……\n一点一点……滴……
0000000000000,千奈,一歩、一歩、歩いてきた\n結果ですもの。,一步一步脚踏实地\n走过来的结果呀。
0000000000000,千奈,さすがのわたくしでも、\n夢じゃないって、わかりますわ。,就算是我也明白，\n这可不是在做梦呢。
0000000000000,千奈,それに――まだ、一度合格しただけ。\n喜ぶのは、お預けですわね。,而且——这才只是第一次合格。\n庆祝的话，还为时尚早呢。
0000000000000,千奈,最後までやり遂げたそのときは、\nお祝いしてくださいませ、先生。,等到真正圆满完成的时候，\n再为我庆祝吧，老师。
0000000000000,{user},それがプロデューサー\nの仕事ですから。,因为那才是制作人\n的职责所在呀。
0000000000000,千奈,ふふっ……先生はいつも\nそうおっしゃいますわね。,呵呵……老师总是\n这么说呢。
0000000000000,千奈,それならわたくしも、いつも通り――,那我也要像往常一样——
0000000000000,千奈,――心よりの感謝を。,——献上发自内心的感谢。
0000000000000,千奈,ありがとうございます、先生！,非常感谢您，老师！
0000000000000,{user},なにせ報酬が破格ですからね。,毕竟报酬实在太过丰厚了呢。
0000000000000,千奈,つかぬことをお聞きしますが……\n先生は、お金が好きなのですか？,请允许我冒昧地问一句……\n老师您，很喜欢钱吗？
0000000000000,{user},もちろん、好きですよ。\n生活するにも、夢を叶えるにも、,当然喜欢啊。\n无论是生活还是实现梦想，
0000000000000,{user},先立つものが必要ですから。,都需要资金作为基础呢。
0000000000000,千奈,わたくしね……最近……先生が……,我呢……最近……觉得老师……
0000000000000,千奈,お金が好きな方で、\nよかったなって、思いますの。,是个爱钱的人，\n真是太好了。
0000000000000,千奈,だって……だからこそ、\nお会いできたのですもの。,因为……正因如此，\n我们才能相遇呀。
0000000000000,千奈,報酬に釣られてくださって……\n本当にありがとうございました！,谢谢您被报酬吸引而来……\n真的非常感激！
0000000000000,{user},……………………どういたしまして。,……………………不客气。
info,adv_pstory_001_kcna_after-audition-mid-normal-01.txt,,
译者,,,
