id,name,text,trans
0000000000000,{user},（倉本さんの様子を見に行こう）,（去看看仓本同学的情况吧）
0000000000000,千奈,ぜはーッ、ぜはーッ……,呼哈——呼哈——……
0000000000000,千奈,くるしぃですわぁ……とっても、\nとっても、くるしぃですわぁ……,好痛苦啊……真的、\n真的好痛苦啊……
0000000000000,{user},……これはひどい。,……这情况可不太妙。
0000000000000,千奈,わぁぁーっ！？　せ、先生！？　\n見ていらっしゃいましたの！？,哇啊啊！？老、老师！？\n您一直都在看着吗！？
0000000000000,{user},はい……しばらく見せて\nもらいましたが……,嗯……我已经观察\n好一会儿了……
0000000000000,{user},わかっていたこととはいえ、\n体力不足は深刻ですね。,虽然早有预料，\n但体力不足的问题确实很严重呢。
0000000000000,千奈,うぅ……申し訳ございませぇん。,呜……非常抱歉……
0000000000000,千奈,わたくし……ダンスの才能が\nないのでしょうか……？,我是不是……\n根本没有舞蹈才能呢……？
select,,トレーナーは\nどう思いますか？,训练员\n你怎么看？
select,,学園長はこう\n言っていました,学园长是这么\n说的
select,,まだわかりません,现在还不好说
0000000000000,ダンストレーナー,運動不足の中学生を教えたことが\nあるんだが。,我以前教过一些\n缺乏运动的初中生。
0000000000000,ダンストレーナー,だいたい同じような感触だ。,感觉大致差不多。
0000000000000,千奈,わたくし高校生ですわーっ！？,我可是高中生啊——！？
0000000000000,ダンストレーナー,現時点で底辺なのは間違いない。\nしかし才能がないか、と聞かれたら……,目前垫底是事实。\n但要说有没有才能……
0000000000000,ダンストレーナー,どうだろうな？　普通じゃないか？\n鍛えればまだ伸びると思うぞ。,谁知道呢？普通水平吧？\n我觉得通过训练还能提升。
0000000000000,{user},専門家は、こう言っていますが。\n不安は薄れましたか？,专家是这么说的。\n现在安心些了吗？
0000000000000,千奈,むむぅ……まだ才能をはかれる段階\nじゃないということですのね……,唔……也就是说现在还不到\n评判才能的阶段呢……
0000000000000,千奈,わかりましたわ！　わたくし、\n無心で努力いたします！,我明白了！我会\n心无旁骛地努力！
0000000000000,{user},倉本さんと十王会長は、同じくらいの\n才能があると。,仓本同学和十王会长\n拥有不相上下的才能呢。
0000000000000,千奈,ええぇえぇ！？,诶诶诶诶！？
0000000000000,千奈,わっ、わたくしに、星南お姉さまと\n同じ才能が眠っていますの！？,哇、哇、我体内沉睡着\n和星南姐姐大人同等的才能吗！？
0000000000000,ダンストレーナー,耄碌したんじゃないか？,该不会是老糊涂了吧？
0000000000000,{user},その可能性もあります。,也不排除这种可能性。
0000000000000,千奈,おふたりとも！　\nわたくしと学園長に失礼ですわ～っ！,两位！\n对我和校长太失礼啦～！
0000000000000,{user},学園長の審美眼が正しかったとしても、\n十王会長はアイドルとして、,即便校长的审美眼光没错，\n十王会长作为偶像
0000000000000,{user},膨大な経験を積み上げてきた。\nその結果、いまの彼女がある。,也积累了丰富经验。\n正因如此才有今天的她。
0000000000000,千奈,……わかりますわ、\n先生が伝えようとしていること。,……我明白了，\n老师想表达的意思。
0000000000000,千奈,わたくしが、星南お姉さまのように、\n立派なアイドルになりたいのなら――,若我想成为像星南姐姐大人那样\n出色的偶像——
0000000000000,千奈,たくさんの努力を積み上げて\nいかねばなりません！,就必须脚踏实地\n积累大量努力才行！
0000000000000,千奈,始まったばかりで、弱音なんて\n漏らしてはいられませんわね！,这才刚刚开始\n可不能说泄气话呢！
0000000000000,{user},わかるのは、いまの倉本さんの\nダンスが未熟であることと……,我能确定的只有\n现在的仓本同学舞蹈还很生涩……
0000000000000,{user},出会った頃よりも、\n少し成長していることだけです。,以及比起初见时\n略有成长这两点而已。
0000000000000,千奈,……わたくし、成長していますの？,……我、真的有成长吗？
0000000000000,{user},はい。ほんの少しだけ。,嗯。虽然只有一点点。
0000000000000,千奈,ほんの少しだけ、ですのね。,只有一点点啊……
0000000000000,千奈,構いませんわ。\n先生が、そう認めてくださった。,没关系的。\n老师愿意这样认可我。
0000000000000,千奈,それだけで、力が湧いてきますもの。,光是这一点\n就让我充满力量了。
0000000000000,千奈,わたくし、この調子で少しずつ、\n前に進んでいきますわ！,我会保持这个步调\n一点一点向前迈进！
info,adv_pstory_001_kcna_after-step-2-normal-03.txt,,
译者,,,
