id,name,text,trans
0000000000000,千奈,先生！　ついに……\n運命の日がやってきましたわね！,老师！终于……\n命运的这一天到来了呢！
0000000000000,{user},はは、大げさですね。今日は、\nただの第一関門ですよ。,哈哈，太夸张了。今天只是\n第一道关卡而已哦。
0000000000000,千奈,もちろん、わかっておりますわ。\nですけれど……,当然，我明白的。\n但是……
0000000000000,千奈,決して大げさではありません。,这绝不是夸张。
0000000000000,千奈,未熟なわたくしは、すべてに\n全力で挑まねばなりませんもの。,不成熟的我必须\n全力以赴面对所有挑战。
select,,リラックスする\nことも必要ですよ,适当放松\n也是很必要的哦
select,,良い心がけですね,这是个好心态呢
select,,よく\n聞いてください,请好好\n听我说
0000000000000,{user},いまの倉本さんの実力ならば、\n問題なく合格できるはずです。,以仓本同学现在的实力，\n应该能轻松通过考核的。
0000000000000,千奈,ええっ！？,诶！？
0000000000000,千奈,先生！　も、もしかしてわたくし……,老师！难、难道说我……
0000000000000,千奈,いつの間にかすごいアイドルに？,不知不觉间已经成为超厉害的偶像了？
0000000000000,{user},本日2度目の台詞になりますが……\n大げさです。,这是今天第二次说了……\n太夸张了。
0000000000000,千奈,ああっ、先生っ！\n笑うなんてひどいですわ～っ！,啊啊，老师！\n您居然笑话我太过分了啦～！
0000000000000,{user},すみません。ですが、\nほどよく力が抜けたようですね。,抱歉。不过看来\n你已经适当放松下来了呢。
0000000000000,千奈,……もぉっ。,……真是的。
0000000000000,{user},それでいい。リラックスして、\n本来の実力を出してきてください。,这样就好。保持放松，\n发挥出真正的实力来吧。
0000000000000,千奈,はいっ、先生！　わかりましたわ！,是，老师！我明白了！
0000000000000,{user},無駄な力みや、気負いがなく。\nただ前向きな気持ちだけがある。,没有无谓的紧张和负担。\n只有积极向前的心态。
0000000000000,{user},きっと練習通りの実力が\n発揮できますよ。,一定能发挥出\n和平时练习一样的实力哦。
0000000000000,千奈,はいっ、先生♪,好的，老师♪
0000000000000,千奈,わたくし、今日、\nと～っても調子がいいんですの。,人家今天啊~\n状态超级棒的说。
0000000000000,千奈,ちゃんと見ていてくださいませ！,请好好看着我哦！
0000000000000,{user},いまの倉本さんにとって、\n全力で挑むとは……,对于现在的仓本同学来说，\n全力以赴意味着……
0000000000000,{user},落ち着いて、練習通りに……\nいつも通りにやることです。,冷静点，按照练习时的……\n像平常那样去做就好。
0000000000000,千奈,……で、でも先生。それでは……,……可、可是老师。那样的话……
0000000000000,千奈,わたくし、\n合格できないかもしれませんわ。,人家说不定\n会不合格呢。
0000000000000,{user},大丈夫。十分な実力が付いていれば\n合格できるはずですよ。,没问题的。只要具备足够的实力\n就一定能合格的。
0000000000000,{user},そうでないのなら、\n明日からまた頑張ればいい。,如果这次不行的话，\n从明天开始继续努力就好。
0000000000000,千奈,……先生のおっしゃる通りですわ。,……老师说得对呢。
0000000000000,千奈,実力以上のステージに立つのは……\nとても失礼なことですもの。,站上超越自己实力的舞台……\n确实是很失礼的事呢。
0000000000000,千奈,わかりましたわ、先生。,我明白了，老师。
0000000000000,千奈,今日は、ありのままのわたくしで、\n挑戦してきますわね！,今天就用最真实的自己，\n来迎接挑战吧！
info,adv_pstory_001_kcna_before-audition-mid-normal-01.txt,,
译者,,,
