id,name,text,trans
0000000000000,千奈,先生！　来てくださったのですわね！,老师！您终于来了呢！
0000000000000,{user},はい、お元気そうでよかった。\n学校を欠席した、とのことでしたが……,嗯，看你气色不错我就放心了。\n听说你今天请假了……
0000000000000,千奈,うふふ、ご心配をおかけしました。,呵呵，让您担心了。
0000000000000,千奈,今日お休みしたのは\n病気ではありませんの。,今天请假\n不是因为生病哦。
0000000000000,千奈,筋肉痛ですわ！,是肌肉酸痛啦！
select,,では筋肉痛でも\nできるレッスンを,那就做些\n肌肉酸痛也能做的训练吧
select,,ゆっくり\n休んでください,请好好\n休息
0000000000000,千奈,まぁ、嬉しい！　\n先生って、まるで鬼のよう！,哎呀，好开心！\n老师简直像魔鬼一样呢！
0000000000000,{user},どうも。動画を使ったイメージ\nトレーニングなどどうでしょう。,对了。要不要试试\n用视频进行的意象训练？
0000000000000,千奈,がんばって皮肉を言ってみたのに、\nまったく効きませんわ！,人家好不容易说出讽刺的话，\n结果完全没效果呢！
0000000000000,{user},倉本さんには向いてないですよ。,这种风格不适合仓本同学哦。
0000000000000,千奈,うぅ～～。,呜呜～～。
0000000000000,千奈,はぁ……ゆううつですわぁ。,唉……好忧郁啊。
0000000000000,千奈,うぅぅ……そういたしますわ。,呜呜……您说得对。
0000000000000,千奈,情けない教え子で\n申し訳ございません～。,教出这么没出息的学生，\n真是对不起～
0000000000000,{user},運動不足の人間が運動を始めれば、\n筋肉痛になるのは当然です。,缺乏运动的人开始锻炼，\n肌肉酸痛是理所当然的。
0000000000000,{user},落ち込むことはないですよ。\nむしろ順調だと思いましょう。,不必沮丧。\n不如说这证明进展很顺利。
0000000000000,千奈,ですが……わたくし、ただでさえ\n皆様よりも遅れていますのに……,但是……我本来就\n比大家落后了……
0000000000000,千奈,休んでいると、焦ってしまって。,休息的时候就会很焦虑。
0000000000000,{user},そう思えることが、\n成長している証拠です。,能有这种想法，\n正是成长的证明。
0000000000000,{user},そうそう、\nお見舞いの品を持ってきました。,对对，\n我带慰问品来了。
0000000000000,千奈,まぁ、先生が、わたくしに？\nいったいなんでしょう？,哎呀，老师给、给我的？\n到底是什么呢？
0000000000000,{user},アイドルのライブ映像です。倉本さんと\n体格が似ている方々を集めました。,是偶像的演唱会录像。我找了和仓本同学\n体型相似的表演者影像。
0000000000000,千奈,……こ、これを観て、イメージ\nトレーニングをしろと？,……要、要我看着这个\n做形象训练吗？
0000000000000,千奈,……ふふ、本当に、先生らしいですわ。,……呵呵，真是\n很有老师风格的礼物呢。
0000000000000,千奈,素晴らしいお見舞い品を、\nありがとうございました。,这份珍贵的慰问品，\n真是太感谢了。
0000000000000,千奈,わたくし、\nきっと糧にしてみせますわ！,我一定会\n好好消化吸收的！
info,adv_pstory_001_kcna_ending-normal-05.txt,,
译者,,,
