id,name,text,trans
0000000000000,千奈,先生！　お待ちしておりましたわ！,老师！我们一直在等您呢！
select,,いつも元気な\n倉本さんにこれを,这个给总是活力满满的\n仓本同学
select,,今後のレッスンに\nついてですが,关于今后的\n训练安排
0000000000000,千奈,まあっ！,哎呀！
0000000000000,千奈,ありがとうございます、先生！,非常感谢您，老师！
0000000000000,千奈,わたくしますます、\nやる気が湧いてきましたわ～っ！,我越来越\n干劲十足了呢～！
0000000000000,千奈,はいっ！　わたくしの\nパワーアップ計画ですわねっ！,是！这是我的\n能力提升计划呢！
0000000000000,千奈,さあっ、なにをすれば\nよろしいのでしょうっ！,来吧，接下来\n该怎么做才好呢！
0000000000000,千奈,どんな厳しいレッスンだって\n乗り越えてみせますわ！,无论多么严格的训练\n我都会克服给您看的！
info,adv_pstory_001_kcna_opening-true-02.txt,,
译者,,,
