id,name,text,trans
0000000000000,広,………………,………………
0000000000000,{user},篠澤さん、そろそろ出番ですよ。,筱泽同学，差不多该上场了哦。
0000000000000,広,………………,………………
0000000000000,{user},し、篠澤さん！？　まさか――,筱、筱泽同学！？难道说——
0000000000000,広,……大丈夫、死んでない。,……没事，没死。
0000000000000,広,ギリギリまで体力を温存してただけ。,只是把体力保留到最后一刻而已。
0000000000000,{user},な、なるほど……では、一言だけ。,原、原来如此……那么，我只说一句。
select,,自信のほどは？,你有多少自信？
select,,失望させないで\nくださいね,请不要让我\n失望哦
select,,わくわくして\nいますか？,感到心跳加速\n了吗？
0000000000000,広,わからない。,不知道。
0000000000000,広,実力が足りないのはわかってる。\n上手くいかない可能性は高いと思う。,我很清楚自己实力不足。\n觉得失败的可能性很高。
0000000000000,広,だけど……,但是……
0000000000000,広,上手くいかなければいい……とは、\n思わない。,我并不觉得……\n失败了就好。
0000000000000,広,それは、面白くないから。,因为那样太无趣了。
0000000000000,広,最後まで全力を尽くして、\nそれでも上手くいかなかったとき。,直到最后都拼尽全力，\n即使这样还是失败的时候。
0000000000000,広,はじめて込み上げてくる気持ちがある。\nそう、信じてる。,才会第一次涌现出某种感情。\n是的，我如此相信着。
0000000000000,広,わたしは、それが欲しい。,我想要的就是这个。
0000000000000,広,だから、ね。プロデューサー……\nわたし、がんばってくる。,所以呢。制作人……\n我要去努力了。
0000000000000,広,プロデューサーは、ふしぎ。,制作人真是，不可思议呢。
0000000000000,広,いつも、わたしが、\n欲しい言葉をくれる。,总是能给予我\n渴望的话语。
0000000000000,広,……ふふ。,……呵呵。
0000000000000,広,胸が、あったかくなる。,胸口，变得温暖起来。
0000000000000,広,見ててね、プロデューサー。,请看着我吧，制作人。
0000000000000,広,精一杯、がんばるから。,我会竭尽全力去努力的。
0000000000000,広,ふしぎな気持ち。,不可思议的心情。
0000000000000,広,わくわくしてるような……\nドキドキしているような……,既感到雀跃不已……\n又觉得心跳加速……
0000000000000,広,嬉しいような、怖いような、\n不安なような……,像是开心，又像是害怕，\n还带着些许不安……
0000000000000,広,色んなもやもやが、まざってる。,各种纷乱的思绪，交织在一起。
0000000000000,広,今日、これから、\nうまくいっても……失敗しても。,今天，从现在开始，\n无论顺利还是失败。
0000000000000,広,この気持ちが、わたしの中で、\n爆発するんだと思う。,这份心情，在我心中，\n一定会爆发出来的。
0000000000000,広,それは、きっと、面白いから。,因为那一定，会很有趣。
0000000000000,広,……楽しみ。,……真期待啊。
0000000000000,広,プロデューサー。,制作人。
0000000000000,広,いってきます。,我出发了。
info,adv_pstory_001_shro_before-audition-final-normal-01.txt,,
译者,,,
