id,name,text,trans
0000000000000,{user},お疲れ様でした、清夏さんは……,辛苦了，清夏同学她……
0000000000000,{user},不合格でした。,不合格了。
0000000000000,清夏,そっか～。ま、しょーがないよね。,这样啊～。嘛，这也是没办法的事呢。
0000000000000,清夏,あたしにしては、\nよくやったと思わない？,我觉得以我的水平来说，\n已经算表现不错了吧？
0000000000000,{user},清夏さん……,清夏同学……
select,,悔しく\nないですか？,难道不会觉得\n不甘心吗？
select,,いつでも\n変わりませんね,你还真是\n一点都没变呢
select,,諦めさせませんよ,我可不会让你放弃的
0000000000000,清夏,そだね。悔しいかも。,也是呢。或许有点不甘心吧。
0000000000000,清夏,でもさ、あたしはレッスン\nサボってたし？,不过啊，我之前不是经常\n翘掉训练吗？
0000000000000,清夏,悔しがるのも、\nなーんか違うかな～って。,要是现在摆出一副不甘心的样子，\n总觉得哪里不太对劲呢～
0000000000000,清夏,そー思っただけ！,只是突然这么觉得啦！
0000000000000,{user},それなら、次は思いっきり悔しがれる\nように、頑張りましょう。,既然如此，下次就努力到能尽情懊悔的\n程度吧。
0000000000000,清夏,次って……Pっち、まだやる気？？,下次……P亲还有干劲吗？？
0000000000000,{user},もちろんです。,当然。
0000000000000,清夏,はぁ？\nほーんと、Pっちって物好きだね～。,哈？\n真是的～P亲你真是个怪人呢。
0000000000000,清夏,しょーがない！\nもう少しだけ、付き合ってあげる♪,真拿你没办法！\n就再陪你努力一会儿吧♪
0000000000000,清夏,それって、どーゆー意味？,这话是什么意思？
0000000000000,{user},いつでもフラットで、\n淡々と事実を受け入れている。,永远保持平静，\n淡然地接受所有事实。
0000000000000,清夏,そんなことないけどなー？,不过我觉得你才不是这样的人呢～？
0000000000000,清夏,今だって、ホントはけっこー\n悔しいって思ってる。,其实我现在\n还是觉得很不甘心呢。
0000000000000,{user},それだけ、アイドルになりたいと\nまだ思ってるということです。,这说明你还是\n非常想成为偶像啊。
0000000000000,清夏,ウワー、Pっちのドヤ顔じゃん。,哇啊~P亲这得意的表情。
0000000000000,{user},せっかくです、もう一度くらい\nアイドル目指してみませんか？,难得有机会\n要不要再挑战一次当偶像呢？
0000000000000,清夏,……そだね。\n次こそは、諦められるかもしれないし。,……也是呢。\n说不定下次就能彻底死心了。
0000000000000,清夏,もう少しだけ、Pっちに付き合って\nあげる♪,那就再陪你一会儿吧♪
0000000000000,清夏,あたし、まだなーんにも\n言ってないんですケド～？,人家明明还什么都没\n说出口呢~
0000000000000,{user},ですが、諦めようって\n言うつもりだったのでは？,但你刚才不是打算说要放弃吗？
0000000000000,清夏,今までもずーっと言ってたっしょ？,之前不是一直这么说的吗？
0000000000000,清夏,それに、試験に落ちて\nキリもいいわけだし～。,而且考试落选\n也是个不错的收场嘛~
0000000000000,清夏,Pっちも、さすがにもう\n愛想が尽きたっしょ。,P亲肯定也已经\n受够了吧。
0000000000000,{user},むしろ、次こそはと燃えてますよ。,相反，我这次反而更有干劲了哦。
0000000000000,{user},だから、清夏さんが諦めてる暇は\nありません。,所以清夏同学可没时间放弃呢。
0000000000000,清夏,……Pっち頑固すぎ。,……P亲太顽固了。
0000000000000,清夏,わかった。いーよ。,知道啦。好吧。
0000000000000,清夏,しつこいPっちのために、\nもうちょっとだけ、諦めないであげる♪,为了死缠烂打的P亲\n我就再坚持一会儿吧♪
info,adv_pstory_001_ssmk_after-audition-final-failure-01.txt,,
译者,,,
