id,name,text,trans
0000000000000,{user},お疲れ様でした、清夏さんは……,辛苦了，清夏同学的表现……
0000000000000,{user},合格です。素晴らしい結果でしたね。,合格了。真是出色的成绩呢。
0000000000000,清夏,へ？　マジ？,诶？真的吗？
0000000000000,清夏,Pっち、何か間違ったりしてない？,P亲，该不会是哪里搞错了吧？
0000000000000,{user},間違ってません。\nこれは清夏さんの実力ですよ。,没有搞错。\n这是清夏同学的真实实力哦。
0000000000000,清夏,そっか～。これが実力かぁ～。,这样啊~原来这就是我的实力呀~。
select,,楽しかった\nですか？,开心\n吗？
select,,嬉しそうですね,看起来很高兴呢
select,,まだまだ\nいけますよ,还能继续\n进步哦
0000000000000,清夏,うん、楽しかった！,嗯，很开心！
0000000000000,清夏,Pっち、あたしやっぱり\nステージに立つのが好きだな。,P亲，我果然还是\n最喜欢站在舞台上了。
0000000000000,清夏,だから、もう一度踊れるように\nなってきて良かった。,所以能重新跳舞\n真是太好了。
0000000000000,{user},ライブも、楽しんでください。,演唱会也要好好享受哦。
0000000000000,清夏,もちろん♪,当然啦♪
0000000000000,清夏,見てる人も、あたしも楽しめる\nライブにしちゃうからっ！,要让观众和我自己\n都享受这场演唱会！
0000000000000,清夏,合格したし、そりゃ嬉しいっしょ！,合格了当然开心啦！
0000000000000,清夏,踊れるようにはなったけど、圧倒的\nレッスン不足ーって感じだったし？,虽然能跳舞了，但总觉得\n训练还远远不够？
0000000000000,清夏,だから、あたしにしてはけっこー\nいい順位とれたの、嬉しくてさ～。,所以对我来说能取得\n这么好的名次，当然超开心啦~。
0000000000000,{user},俺も嬉しいです。,我也很开心。
0000000000000,清夏,あはは、じゃあ～、\nPっちをもっと喜ばせちゃおっかな～？,啊哈哈，那么~\n就让P亲更开心一点吧~？
0000000000000,清夏,ライブも、楽しみにしててよ！,演唱会也要好好期待哦！
0000000000000,清夏,Pっちスパルタ～……,P亲太严厉了啦～……
0000000000000,清夏,褒めるだけでじゅーぶんっしょ。,光是表扬就已经足够了吧。
0000000000000,{user},葛城さんとの約束を果たすためにも\n更に上を目指すべきです。,为了履行与葛城同学的约定\n我们应该以更高处为目标。
0000000000000,清夏,約束か～。……そだね。,约定啊～。……说的也是呢。
0000000000000,清夏,もう一度、踊れるようになったし、\n今度はそっち、がんばろーかな！,既然已经能再次跳舞了\n这次就轮到我来加油啦！
0000000000000,{user},その第一歩として、\nライブを成功させましょう。,作为第一步\n让我们把演唱会办成功吧。
0000000000000,清夏,おっけ～♪,好～♪
info,adv_pstory_001_ssmk_after-audition-final-normal-02.txt,,
译者,,,
