id,name,text,trans
0000000000000,{user},お疲れ様でした、清夏さんは……,辛苦了，清夏同学……
0000000000000,{user},合格です。ギリギリの結果でしたね。,合格了。真是勉强及格的结果呢。
0000000000000,清夏,…………マ？,………哈？
0000000000000,{user},はい、本当ですよ。,嗯，是真的哦。
0000000000000,清夏,え、え、ちょ、ちょっと待って！！,等、等等，先等一下！！
select,,そんなに信じられ\nませんか？,就那么难以相信\n吗？
select,,これが\n今の実力です,这就是\n目前的实力
select,,課題が\n山積みですね,需要解决的问题\n堆积如山呢
0000000000000,清夏,信じられるわけなくない？,怎么可能相信啊？
0000000000000,清夏,だって、レッスンなんて\nほとんどやってないじゃん！,因为，训练什么的\n明明几乎都没怎么做过嘛！
0000000000000,{user},だから、ギリギリでの合格なんです。,所以才会勉强及格啊。
0000000000000,{user},もっとレッスンをすれば、\n上位を目指すことは簡単ですよ。,再多做些训练的话，\n要争取更高的名次也很简单哦。
0000000000000,清夏,なに、そのドヤ顔～！\nPっちムカつく～！,干嘛摆出那副得意的表情啦～！\nP亲太让人火大了～！
0000000000000,{user},何を言っても、合格した事実は\n変わりません。反省会です。,不管你说什么，合格的事实\n都不会改变。来开反省会吧。
0000000000000,清夏,少しはあたしの話、\n聞いてくれてもよくない！？,稍微听一下\n人家说话会怎样嘛！？
0000000000000,清夏,うっわぁ……\nPっち、なんかすっごい嬉しそー。,呜哇……\nP亲看起来超级开心的样子—。
0000000000000,{user},これで、清夏さんもしっかり\nレッスンしてくれるかな、と。,这样一来，清夏同学应该也会\n认真参加训练了吧。
0000000000000,清夏,あたしだって合格するなんて、\n予想外だって！,连我都能合格什么的，\n完全出乎意料啦！
0000000000000,清夏,……なーんか、Pっちの手のひらの上で\n踊らされてる気がするなぁ～。,……总觉得，好像被P亲\n玩弄于股掌之间了呢～。
0000000000000,{user},もう少し、踊らされてください。,请再让我多玩弄一会儿吧。
0000000000000,清夏,…………,…………
0000000000000,清夏,しょーがないな～。\nもう少しだけ、だから！,真拿你没办法呢～。\n就再练一小会儿，说好了哦！
0000000000000,{user},今回の試験で出来なかった部分を、\nしっかり復習して──,这次考试中没做好的部分，\n要好好复习──
0000000000000,清夏,ちょ、Pっち待って！,等、P亲等一下！
0000000000000,清夏,あたし、まだ続けるなんて\n言ってなくない！？,我还没说要\n继续练习吧！？
0000000000000,{user},合格したのに、辞めるんですか？\n次があるのに？,明明都合格了，为什么要退出？\n下次机会还在等着呢？
0000000000000,清夏,う、そ、それはそうだけど～……,呜、话、话是这么说啦～……
0000000000000,{user},せっかくなんです。\nもう少しだけ、やってみましょう。,难得有这个机会。\n我们就再稍微努力一下吧。
0000000000000,清夏,し、仕方ないなぁ～。\nPっちがそんなに言うなら──,真、真没办法啊～。\n既然P亲都这么说了──
0000000000000,清夏,もう少しだけ……\nもう少しだけ、やってみる。,就再练一小会儿……\n真的就一小会儿哦。
info,adv_pstory_001_ssmk_after-audition-mid-normal-04.txt,,
译者,,,
