id,name,text,trans
0000000000000,清夏,………………,………………
0000000000000,{user},清夏さん、緊張していますか？,清夏同学，你在紧张吗？
0000000000000,清夏,……そりゃするっしょ～。\n勝ち負けが明確に出るんだし？,……那当然会紧张啦～\n毕竟胜负一目了然嘛？
select,,……本当に緊張\nしていますか？,……你是真的在紧张\n吗？
select,,不安ですか？,是在不安吗？
select,,その割に、\n楽しそうですね？,可看起来\n你挺享受的？
0000000000000,清夏,えー？　してるって。\nもう、めっちゃ緊張してる！,诶～？当然紧张啊。\n我现在超级紧张的！
0000000000000,{user},本当ですか？,真的吗？
0000000000000,清夏,ホント、ホント！,真的真的！
0000000000000,{user},ここで失敗したら、俺が清夏さんの\nプロデュースをやめる……とでも？,要是这次搞砸了，我就不当清夏同学的\n制作人了……之类的？
0000000000000,清夏,それもアリ！,也不是不行！
0000000000000,清夏,この試験で、他にいー子\n見つかるかもしれないし？,说不定这次考试\n能发现更棒的孩子呢？
0000000000000,清夏,だから、あたしだけじゃなくて\nいろんな子見るんだよ～？,所以不要只盯着我\n要多看看其他女孩子呀～？
0000000000000,清夏,じゃ、いってきまーす！,那我出发啦！
0000000000000,{user},……手強い相手だな。,……真是个难对付的对手啊。
0000000000000,清夏,めっちゃ不安！,超级不安！
0000000000000,清夏,少ししか練習してないの、\nPっちだって知ってるっしょ？,都没怎么练习过，\nP亲你也知道的吧？
0000000000000,清夏,こんな緊張するの、いつぶりだろ～……,上次这么紧张\n是什么时候来着～……
0000000000000,{user},大丈夫です。とにかく、\n今出来る精一杯をやってみましょう。,没关系的。总之\n先尽力做到最好吧。
0000000000000,{user},ただし、無理はしないこと。,不过别太勉强自己。
0000000000000,清夏,うん。……とりあえず、\nやってみるしかないっしょ。,嗯……总之，\n只能先试试看了。
0000000000000,清夏,……そーかも。,……说的也是呢。
0000000000000,清夏,なーんか、ちょっとワクワクも\nしてるんだよね～♪,总觉得，还有点小激动呢～♪
0000000000000,清夏,バレエでステージに立ってた頃も\nこんな感じだったかも。,以前跳芭蕾登上舞台的时候，\n可能也是这种感觉吧。
0000000000000,{user},その調子で、最高のパフォーマンスを\n見せつけてきてください。,请保持这种状态，\n展现出最棒的表演吧。
0000000000000,清夏,おっけ～！,好嘞～！
0000000000000,清夏,Pっちも、ちゃーんと見ててよね♪,P亲也要好好看着哦♪
info,adv_pstory_001_ssmk_before-audition-mid-normal-01.txt,,
译者,,,
