id,name,text,trans
0000000000000,{user},お疲れ様でした。月村さんは……,辛苦了。月村同学她……
0000000000000,{user},不合格でした。,不合格。
0000000000000,手毬,そう。,这样啊。
0000000000000,手毬,……………………,……………………
select,,落ち込んで\nいますか？,是在\n沮丧吗？
select,,甘いものを\nおごりますよ,我请你吃\n甜食哦
select,,さっそく反省会を,马上开反省会吧
0000000000000,手毬,え？,诶？
0000000000000,手毬,ああ……黙っているから、\n心配したんですね。,啊……因为一直沉默，\n所以才担心的吧。
0000000000000,手毬,考えを整理していただけです。,只是在整理思绪而已。
0000000000000,手毬,思ったより課題が多そうなので。,因为看起来比预想的课题要多。
0000000000000,手毬,落ち込むとかは、特にないです。,倒也没有什么特别沮丧的。
0000000000000,{user},そうですか。\n余計な心配だったようですね。,这样啊。\n看来是我多虑了呢。
0000000000000,{user},かなり悲惨な出来だったので、つい。,因为表现得实在太惨了，忍不住就……
0000000000000,手毬,むしろプロデューサーの台詞に\n傷つくんですけど！,不如说被制作人的台词\n伤到了呢！
0000000000000,手毬,見ていてください！　\n二度とそんなこと言わせませんから！,请看着吧！\n绝对不会再让你说出那种话了！
0000000000000,手毬,意外。プロデューサーって、\nそういう気遣いとかできたんですね。,真意外。原来制作人\n也会这样体贴人啊。
0000000000000,手毬,せっかくですけど結構です。,难得的好意心领了。
0000000000000,手毬,記憶が鮮明なうちに、\n考えを整理しておきたいから。,趁着记忆还鲜明的时候，\n想先把思路整理好。
0000000000000,{user},そうですか。,这样啊。
0000000000000,手毬,そこで気の利いた台詞を\n重ねられないところが、,这种时候却说不出一句\n像样的台词，
0000000000000,手毬,私のプロデューサーですよね。,这就是我的制作人呢。
0000000000000,手毬,おごりの権利、取っておいてください。,请保留请客的权利。
0000000000000,手毬,リベンジしたときに、使いますから。,等我们复仇的时候再用。
0000000000000,手毬,プロデューサーって、\nいつもそれですよね。,制作人总是这样呢。
0000000000000,手毬,同じ台詞ばかり繰り返して……\n実はロボットだったりしない？,只会重复同样的台词……\n该不会是机器人吧？
0000000000000,{user},……失礼な。,……真失礼。
0000000000000,{user},いまの月村さんにかけるべき、\n適切な台詞を口にしているだけです。,我只是在说此刻对月村同学\n最恰当的台词而已。
0000000000000,手毬,まぁ、確かに……余分なことを\n言わないところは気に入っています。,嘛，确实……\n我挺喜欢你不多废话这点。
0000000000000,手毬,あくまでプロデューサーとして、\nですけど。,当然只是作为制作人而言。
0000000000000,{user},それはどうも。では、\n余分な会話はこのあたりにして。,承蒙夸奖。那么，\n闲聊就到此为止吧。
0000000000000,手毬,うん。反省会、やろうか。,嗯。开始复盘会吧。
info,adv_pstory_001_ttmr_after-audition-final-failure-01.txt,,
译者,,,
